"municipio","valor","unidade","populacao_area_risco","populacao_total","tipo_do_numero","evidencia","confianca","erro"
"Barros Cassal","vermelho","semáforo (verde/vermelho)","N/A","9.036","populacao total","o texto menciona ""população figura (9.036 habitantes)"" e separadamente lista ""número de afetados 9.130"" e números de residências por risco, mas não declara um número explícito de residentes que vivem em áreas de risco","alta",""
"Barão de Cotegipe","vermelho","semáforo (verde/vermelho)","N/A","7144","populacao total","Dados do Município: name ""Barão de Cotegipe"", population listed as 7.144 (7,144)","alta",""
"Barão do Triunfo","vermelho","semáforo (verde/vermelho)","N/A","5.972","populacao total","Município: Barão do Triunfo – RS População: aproximadamente 5.972 habitantes (IBGE Cidades-estimativa de população).","alta",""
"Barão","vermelho","semáforo (verde/vermelho)","N/A","6500","populacao total","População: aproximadamente 6.500 habitantes","alta",""
"Boa Vista do Cadeado","vermelho","semáforo (verde/vermelho)","N/A","2229","populacao total","Município resumo: população 2.229; Não há número específico de residentes em áreas de risco — Seção 5 lista tipos de risco, sem quantificação de residentes em áreas de risco.","alta",""
"Boa Vista do Incra","vermelho","semáforo (verde/vermelho)","N/A","2314","populacao total","Boa Vista do Incra ... população estimada em 2.314 habitantes (2025), conforme dados do IBGE. ... 11. ÁREAS DE RISCO: Não se fez necessário anexar mapas de risco específicos para o município ... a ausência de delimitações específicas de áreas de risco ... todo o território municipal deve ser considerado vulnerável","alta",""
"Bom Princípio","verde","semáforo (verde/vermelho)","2194","N/A","residentes em area de risco","Total de pessoas em risco: 2194","alta",""
"Bom Retiro do Sul","verde","semáforo (verde/vermelho)","130","N/A","residentes em area de risco","Família 183 130 Famílias","alta",""
"Brochier","vermelho","semáforo (verde/vermelho)","N/A","4.966","populacao total","População: 4.966 pessoas – Censo IBGE 2022","alta",""
"Butiá","vermelho","semáforo (verde/vermelho)","N/A","19084","populacao total","Município: Butiá Código IBGE: 4302709 População 19.084","alta",""
"Cacequi","vermelho","semáforo (verde/vermelho)","N/A","11,157","populacao total","município ... 2022 população ~11,157","alta",""
"Cachoeira do Sul","verde","semáforo (verde/vermelho)","1457","83827","residentes em area de risco","Área Local ... 01 Bairro Cristo Rei - Inundação ... Defesa Civil 300 famílias ... 02 Bairro Marques Ribeiro ... 105 famílias ... 03 Bairro Santo Antônio ... 300 famílias ... 04 Bairro Tibiriça ... 234 ... 05 Bairro Noêmia ... 61 famílias ... 06 Bairro Quinta da Boa Vista ... 71 famílias ... 07 Bairro Ponche Verde ... 50 famílias ... 08 Bairro Bom Retiro ... 100 famílias ... 09 Bairro Virgilino Jaime Zinn ... 65 famílias ... 10 Bairro Marina ... 106 famílias ... 11 Localidade de Ferreira ... 12 famílias ... 12 Localidade de São Lourenço ... 30 famílias ... 13 Localidade de Pertile ... 10 famílias ... 14 Localidade de Piquiri Posto Schell ... 80 famílias ... 15 Localidade de Capão Grande ... 60 famílias ... 16 Localidade de Alto dos Casimiros ... 05 famílias ... 17 Localidade de Porteira Sete ... 06 famílias ... 18 Localidade de Irapuá ... 20 famílias ... 19 Localidade de Passo do Seringa ... 25 famílias","alta",""
"Cachoeirinha","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento indica ações para ""Elaborar estudo censitário e socioambiental para um correto diagnóstico da população em área de risco"" e instruções sobre cadastro de desalojados e moradores em áreas de risco, mas não apresenta número ou estimativa específica de residentes em áreas de risco.","alta",""
"Cacique Doble","vermelho","semáforo (verde/vermelho)","N/A","4.603","populacao total","Populacao: 4.603 -Estimativa IBGE 2022","alta",""
"Camaquã","vermelho","semáforo (verde/vermelho)","N/A","63,959","populacao total","População: 63,959 pessoas ( dados IBGE 2024)","alta",""
"Camargo","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Documentos do PLANO DE CONTINGÊNCIA MULTIRRISCO — seções mostram cenários de risco, ações por evento, infraestrutura e contatos, mas não apresentam um número ou estimativa de pessoas/famílias que residem em áreas de risco.","alta",""
"Campo Bom","vermelho","semáforo (verde/vermelho)","N/A","62886","populacao total","A população do Município é 62.886 de habitantes (IBGE / 2023)","alta",""
"Campos Borges","vermelho","semáforo (verde/vermelho)","N/A","3.613","populacao total","População: 3.613 Área: 226,202 km2","alta",""
"Candelária","vermelho","semáforo (verde/vermelho)","N/A","28.906","populacao total","""o município possui 28.906 habitantes, 52% localizados em área urbana e 48% em área rural."" [ref_id:0]","alta",""
"Canguçu","verde","semáforo (verde/vermelho)","196","49680","residentes em area de risco","Quantidade de Edificações: 30 • Quantidade de Pessoas: 120 [setor Fonseca I]; Quantidade de Edificações: 19 • Quantidade de Pessoas: 76 [outro setor] — total 196","alta",""
"Canoas","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Obs.: número aproximado de pessoas diretamente atingidas pela enchente de 2024 foi 162.356 (não há estatística para indiretamente afetados).","alta",""
"Canudos do Vale","verde","semáforo (verde/vermelho)","142","1656","residentes em area de risco","Área Grau de risco Processo Edificações Estimativa moradores ... 01- Urbana alto deslizamento 05 15 Rua José Paulo Kober ... 02- Urbana alto deslizamento 02 06 Rua João José Briesch ... 03- Urbana médio inundação 04 06 Rua João José Briesch ... 04- Urbana médio inundação 15 45 Rua José Paulo Kober ... 05- Urbana médio deslizamento 15 45 Rua José Paulo Kober ... 06 -Urbana baixo deslizamento 01 00 ERS 424 km 02 – creche municipal ... 01- Rural alto deslizamento 03 06 ERS 424 km 07 – Baixo Canudos ... 02- Rural alto deslizamento 02 06 Canjerana ... 03- Rural médio deslizamento 03 08 ERS 424 Km 03- Baixo Canudos","alta",""
"Capela de Santana","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento lista ""Áreas de Risco do Município"" (ex.: ""Áreas rurais e urbanas totais ou parciais, conforme laudos técnicos."" e ""Toda a área territorial do Município.""), mas não declara um número ou estimativa de pessoas/famílias que residem em áreas de risco; apresenta também dados cadastrais e recursos (ex.: capacidade de abrigo 30 pessoas) sem estimativa de população em área de risco.","alta",""
"Capitão","vermelho","semáforo (verde/vermelho)","N/A","2921","populacao total","Capitão, município do estado do Rio Grande do Sul, possui uma população de 2.921 habitantes e densidade demográfica de 34,64 hab./km2.","alta",""
"Capão Bonito do Sul","vermelho","semáforo (verde/vermelho)","N/A","1724","populacao total","Header block with municipality name: Capão Bonito do Sul (RS). It lists population (1,724) [e página de plano de contingência lista áreas de risco, mas não há número de residentes em áreas de risco]","alta",""
"Capão do Cipó","vermelho","semáforo (verde/vermelho)","N/A","3699","populacao total","Nome: CAPÃO DO CIPÓ População: 3.699 Área: 1002 Km²","alta",""
"Capão do Leão","vermelho","semáforo (verde/vermelho)","N/A","26.487","populacao total","População: 26.487 hab.","alta",""
"Carazinho","vermelho","semáforo (verde/vermelho)","N/A","63.638","populacao total","Carazinho, localizado no estado do Rio Grande do Sul, possui uma população estimada de 63.638 habitantes, conforme dados do IBGE para o ano de 2024.","alta",""
"Carlos Gomes","vermelho","semáforo (verde/vermelho)","N/A","1368","populacao total","População: 1.368 habitantes","alta",""
"Casca","vermelho","semáforo (verde/vermelho)","N/A","9.456","populacao total","O município de Casca ... com uma população de 9.456 habitantes","alta",""
"Caseiros","vermelho","semáforo (verde/vermelho)","N/A","3007","populacao total","População: 3007","alta",""
"Centenário","vermelho","semáforo (verde/vermelho)","N/A","2967","populacao total","Population: 2.967 (IBGE estimate 2022)","alta",""
"Cerrito","vermelho","semáforo (verde/vermelho)","N/A","6402","populacao total","População: 6402 Área: 451,699 km²","alta",""
"Cerro Branco","vermelho","semáforo (verde/vermelho)","N/A","3802","populacao total","Nome: CERRO BRANCO; População: 3.802; Área: 158,025; RCL: 22.000.000,00.","alta",""
"Cerro Grande do Sul","vermelho","semáforo (verde/vermelho)","N/A","9.178","populacao total","O município de Cerro Grande do Sul possui uma população estimada de 9.178 habitantes (conforme IBGE 2022)","alta",""
"Charqueadas","vermelho","semáforo (verde/vermelho)","N/A","31.141,1435.363","N/A","População (habitantes) ... 31.141,1435.363","media",""
"Charrua","vermelho","semáforo (verde/vermelho)","N/A","2.807","afetados por evento","N° de afetados: 70","alta",""
"Chuvisca","vermelho","semáforo (verde/vermelho)","N/A","5.401","populacao total","população estimada, segundo IBGE (2018) de 5.401 habitantes","alta",""
"Chuí","vermelho","semáforo (verde/vermelho)","N/A","6262","populacao total","Nome: CHUÍ População:6.262 Área: 202,387 KM2","alta",""
"Ciríaco","vermelho","semáforo (verde/vermelho)","N/A","4.419 habitantes","populacao total","Município: Ciriáco/RS População: 4.419 habitantes (Dados do IBGE 2022)","alta",""
"Colinas","vermelho","semáforo (verde/vermelho)","N/A","2.423","populacao total","Colinas com 2.423 habitantes (Censo IBGE 2022)","alta",""
"Colorado","vermelho","semáforo (verde/vermelho)","N/A","3.550","populacao total","População: 3.550","alta",""
"Coqueiro Baixo","vermelho","semáforo (verde/vermelho)","N/A","1290","populacao total","População: 1.290 – Censo IBGE 2022","alta",""
"Coxilha","vermelho","semáforo (verde/vermelho)","N/A","2667","populacao total","População: 2.667 - Censo IBGE 2022","alta",""
"Cristal","vermelho","semáforo (verde/vermelho)","N/A","7.299","populacao total","O município de Cristal ... contam com uma população de 7.299 habitantes, de acordo com o IBGE 2022.","alta",""
"Cruz Alta","vermelho","semáforo (verde/vermelho)","N/A","58.913.000","populacao total","População (Habitantes): 58.913.000","alta",""
"Cruzeiro do Sul","vermelho","semáforo (verde/vermelho)","N/A","11,600 habitantes","populacao total","População: 11,600 habitantes Área total: 155.482KM²","alta",""
"David Canabarro","vermelho","semáforo (verde/vermelho)","N/A","N/A","afetados por evento","Nº de famílias afetadas: 500 (ALAGAMENTOS); Nº de famílias afetadas: 500 (ENXURRADAS); TEMPESTADE LOCAL CONECTIVA, VENDAVAL — número de famílias afetadas 2,420; SECA E ESTIAGEM — Nº de famílias afetadas: 200; TEMPESTADE LOCAL CONECTIVO, GRANIZO — Nº de famílias afetadas: 55","alta",""
"Dilermando de Aguiar","vermelho","semáforo (verde/vermelho)","N/A","2806","populacao total","MUNICÍPIO Nome: Dilermando de Aguiar População: 2.806 Área: 600,54 km ²","alta",""
"Dois Irmãos","vermelho","semáforo (verde/vermelho)","N/A","30709","populacao total","população aprox. 30.709 (IBGE 2022)","alta",""
"Dois Lajeados","vermelho","semáforo (verde/vermelho)","N/A","3.097 Habitantes","populacao total","Nome: Município de Dois Lajeados\n\nPopulação: 3.097 Habitantes Área: 133,535 km²","alta",""
"Dom Feliciano","vermelho","semáforo (verde/vermelho)","N/A","13.051","populacao total","município Dom Feliciano, população (13.051)","alta",""
"Dona Francisca","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento descreve cenários e áreas de risco (ex.: ""O Cenário é composto por um ou mais áreas de risco"") e listas de ações/abrigos, mas não apresenta um número ou estimativa de pessoas ou famílias que residem em áreas de risco.","alta",""
"Doutor Ricardo","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Diversos pontos no interior do Município, na Linha Leopolda, Linha Rio Verde, Linha Rio Branco, Linha São Paulo, Linha Gruta, Linha Guilhermina, Linha Bonita Baixa. ... Toda área urbana e rural do Município. Falta de água devido ao baixo volume de precipitação. As áreas mais afetadas são no interior do município, mas dependendo da dimensão do evento também afeta a área urbana.","alta",""
"Eldorado do Sul","verde","semáforo (verde/vermelho)","1676","40654","residentes em area de risco","Quantificações legíveis incluem ~1,676 people at risk (setor) e tabela lista 'Quantidade de pessoas em risco: 743' em outro setor; levantamentos setoriais com números de pessoas em risco estão presentes nas cartografias do SGB integradas ao PLANCON.","media",""
"Encantado","vermelho","semáforo (verde/vermelho)","N/A","22.962","populacao total","Com uma população estimada em 22.962 habitantes (Censo 2022), Encantado é um importante centro regional","alta",""
"Encruzilhada do Sul","vermelho","semáforo (verde/vermelho)","N/A","24537","populacao total","População: 24.537 Área: 3347,861 KM","alta",""
"Erebango","vermelho","semáforo (verde/vermelho)","N/A","3054","populacao total","População: 3.054 habitantes","alta",""
"Erechim","vermelho","semáforo (verde/vermelho)","N/A","105754","populacao total","População: 105.754","alta",""
"Ernestina","vermelho","semáforo (verde/vermelho)","N/A","3.097","populacao total","Nome: MUNICÍPIO DE ERNESTINA População: 3.097 - CENSO IBGE 2022","alta",""
"Espumoso","vermelho","semáforo (verde/vermelho)","N/A","15,173","populacao total","MUNICÍPIO... população (15,173) ... Seção 4 (Áreas de Risco do Município): tabela com bairros e risco listados como 'Alagamentos'.","alta",""
"Estação","vermelho","semáforo (verde/vermelho)","N/A","5.688","populacao total","Município Nome – Estação População – 5.688 Área – 100,3km","alta",""
"Esteio","verde","semáforo (verde/vermelho)","8500","78181","residentes em area de risco","sendo que aproximadamente 8.500 pessoas vivem em áreas vulneráveis, inclusive com habitações irregulares às margens dos arroios.[ref_id:0] O município de Esteio possui uma população estimada de 78.181 habitantes (conforme IBGE 2024).[ref_id:0]","alta",""
"Estrela Velha","vermelho","semáforo (verde/vermelho)","N/A","3070","populacao total","reported population (3,070 per 2022 census)","alta",""
"Estrela","verde","semáforo (verde/vermelho)","12316","N/A","residentes em area de risco","Quantidade total de pessoas em áreas de risco: 12.316 [ref_id:13]","alta",""
"Estância Velha","vermelho","semáforo (verde/vermelho)","N/A","49.440","populacao total","Estância Velha possui uma população de 49.440 habitantes (estimativa IBGE-2024), predominantemente urbana (93,1%).","alta",""
"Faxinal do Soturno","vermelho","semáforo (verde/vermelho)","N/A","6.702","populacao total","Faxinal do Soturno possui uma população de 6.702 habitantes, distribuídos em uma área territorial de 169,514 km².","alta",""
"Fazenda Vilanova","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Áreas de Risco do Município: Local Risco Observações Todo município Meteorológico (Granizo ou Vendaval) ... Todo município Climatológico (Estiagem ou Seca) As áreas mais afetadas são no interior do município.","alta",""
"Feliz","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Documento identifica ""Áreas de Risco do Município"" listando pontos de enchente e deslizamento (P1–P5, P1–P3) com localidade e coordenadas, sem declarar número/estimativa de pessoas ou famílias residentes nessas áreas.","alta",""
"Floriano Peixoto","vermelho","semáforo (verde/vermelho)","N/A","2018","populacao total","População: 2018","alta",""
"Fontoura Xavier","vermelho","semáforo (verde/vermelho)","N/A","10181","populacao total","contava com 10 181 habitantes no último censo.","alta",""
"Formigueiro","vermelho","semáforo (verde/vermelho)","N/A","7014","populacao total","População 7.014; (seção 'Áreas de Risco do Município' lista locais sujeitos a enchentes, mas não declara número de residentes em áreas de risco)","alta",""
"Forquetinha","vermelho","semáforo (verde/vermelho)","N/A","2.393 Habitantes","populacao total","Nome: MUNICÍPIO DE FORQUETINHA-RS População: 2.393 Habitantes Área: 93,57 km²","alta",""
"Fortaleza dos Valos","vermelho","semáforo (verde/vermelho)","N/A","4.477","populacao total","Nome: Fortaleza dos Valos/RS População: 4.477- Censo/2022","alta",""
"Gaurama","vermelho","semáforo (verde/vermelho)","N/A","5665","populacao total","População: 5.665 – Estimativa IBGE 2022","alta",""
"Gentil","vermelho","semáforo (verde/vermelho)","N/A","1677","populacao total","Município Nome: Gentil /RS População: 1.677 Área: 184,715 km²","alta",""
"Getúlio Vargas","vermelho","semáforo (verde/vermelho)","N/A","16.156","populacao total","População: 16.156 Área: 286 km²","alta",""
"Glorinha","vermelho","semáforo (verde/vermelho)","N/A","7.658","populacao total","Município: GLORINHA UF: RS População: 7.658 (Censo 2022)","alta",""
"Gramado Xavier","vermelho","semáforo (verde/vermelho)","N/A","3304","populacao total","População: 3.304 – Censo IBGE 2022","alta",""
"Gravataí","vermelho","semáforo (verde/vermelho)","N/A","265070","populacao total","A população municipal de Gravataí/RS é de 265.070 habitantes, dados do último censo demográfico realizado pelo Instituto Brasileiro de Geografia e Estatística (IBGE)","alta",""
"Guaíba","vermelho","semáforo (verde/vermelho)","N/A","99.186 habitantes (estimada em 2016)","populacao total","Sua população estimada em 2016 era de 99.186 habitantes.","alta",""
"Harmonia","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento descreve procedimentos para retirada/atendimento da população em áreas de risco e ações relacionadas a 'atingidos' e 'desalojados', mas não declara um número ou estimativa de residentes que vivem em áreas de risco.","alta",""
"Herval","vermelho","semáforo (verde/vermelho)","N/A","~6.191 habitantes","populacao total","""municipality name (Herval/RS), population (~6.191 habitantes)""","media",""
"Herveiras","vermelho","semáforo (verde/vermelho)","N/A","2.565 pessoas [2022]","populacao total","População residente 2.565pessoas [2022]","alta",""
"Ibarama","vermelho","semáforo (verde/vermelho)","N/A","3.732","populacao total","População: 3.732 habitantes (dados IBGE 2023)","alta",""
"Ibiaçá","vermelho","semáforo (verde/vermelho)","N/A","4710","populacao total","Population: ""4.710 – Censo IBGE 2010.""","alta",""
"Ibiraiaras","vermelho","semáforo (verde/vermelho)","N/A","6776","populacao total","Population: 6,776","alta",""
"Ibirapuitã","vermelho","semáforo (verde/vermelho)","N/A","4141","afetados por evento","Número de pessoas afetadas: 4.141","alta",""
"Ibirubá","vermelho","semáforo (verde/vermelho)","N/A","21583","populacao total","Population 21.583","alta",""
"Igrejinha","vermelho","semáforo (verde/vermelho)","N/A","31.660 (Censo 2010) / 33.711 (projeção 2013)","populacao total","Sua população é de 31.660 conforme Censo do IBGE do ano de 2010 e uma projeção de 33.711 habitantes em 2013.","alta",""
"Ilópolis","vermelho","semáforo (verde/vermelho)","N/A","4157","populacao total","Município: Ilópolis/RS; população 4.157; área listada como ""123,602 km²"".","alta",""
"Imigrante","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Áreas de Risco do Município: Diversos pontos no interior do Município, como: Linha Fassini, Linha Arroio da Seca Baixa, Linha Imhoff, e, Linha Castro Alves. (lista de riscos e locais, sem quantificação de residentes em áreas de risco)","alta",""
"Ipiranga do Sul","vermelho","semáforo (verde/vermelho)","N/A","1720","populacao total","DADOS DO MUNICÍPIO: população (Censo IBGE 2023: 1.720)","alta",""
"Itaara","vermelho","semáforo (verde/vermelho)","N/A","5,573","populacao total","A página de dados cadastrais lista população (~5,573) e a seção ""Áreas de Risco do Município"" indica riscos (ex.: ""Todo o Município — Vendaval"") mas não declara número de residentes em áreas de risco.","alta",""
"Itapuca","vermelho","semáforo (verde/vermelho)","N/A","N/A","afetados por evento","Identified impacts: ~230 residences, ~600 people affected, 0 public buildings.","alta",""
"Ivorá","vermelho","semáforo (verde/vermelho)","N/A","2.156","populacao total","Cabeçalho mostra população ~2,156; seção ""Áreas de Risco do Município"" lista locais (Encruzilhada de Fátima; Toda Cidade — alagamentos) mas não apresenta número de residentes em áreas de risco.","alta",""
"Ivoti","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Entre os locais de maior risco no município encontram-se os bairros de Feitoria Nova, Picada 48 Baixa, Jardim Panorâmico, União e Concórdia.","alta",""
"Jacuizinho","vermelho","semáforo (verde/vermelho)","N/A","2028","populacao total","Population 2.028","alta",""
"Jaguari","vermelho","semáforo (verde/vermelho)","N/A","10579","populacao total","População: 10579 Área: 673,459 km2","alta",""
"Jaguarão","vermelho","semáforo (verde/vermelho)","N/A","26.603","populacao total","Jaguarão com 26.603 habitantes está localizada em uma região a qual suas precipitações pluviométricas são bem consideráveis","alta",""
"Jari","vermelho","semáforo (verde/vermelho)","N/A","3349","populacao total","População: 3.349 hab (IBGE/2022)","alta",""
"Júlio de Castilhos","vermelho","semáforo (verde/vermelho)","N/A","18226","populacao total","População no último censo (2022): 18.226 pessoas","alta",""
"Lagoa Bonita do Sul","vermelho","semáforo (verde/vermelho)","N/A","2852","populacao total","população mostrada como 2,852","alta",""
"Lagoa Vermelha","vermelho","semáforo (verde/vermelho)","N/A","27525","populacao total","População: 27525","alta",""
"Lagoa dos Três Cantos","vermelho","semáforo (verde/vermelho)","N/A","~1.598","afetados por evento","Nº de afetados: 1.738","alta",""
"Lagoão","vermelho","semáforo (verde/vermelho)","N/A","5341","populacao total","Nome: LAGOÃO RS População: 5341 Censo IBGE 2022 Área: 387,486 M²","alta",""
"Lajeado","vermelho","semáforo (verde/vermelho)","N/A","93646","populacao total","Lajeado possui população de 93.646 pessoas (IBGE 2022)","alta",""
"Lindolfo Collor","vermelho","semáforo (verde/vermelho)","N/A","N/A","afetados por evento","Família 850\n850 familias afetadas pelo evento climatico\nResidências populares 300 300 casas afetadas","alta",""
"Linha Nova","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento menciona ""Vulnerabilidades: Ocupações em áreas de risco;"" e ""3. Áreas de Risco do Município:"" com tabela sem valores numéricos preenchidos.","alta",""
"Machadinho","vermelho","semáforo (verde/vermelho)","N/A","5735","populacao total","População: 5735","alta",""
"Maratá","vermelho","semáforo (verde/vermelho)","N/A","2.470","populacao total","Nome: Município de Maratá/RS; População: 2.470 Habitantes; Área: 83 km².","alta",""
"Marau","vermelho","semáforo (verde/vermelho)","N/A","45.124","populacao total","Nome do Município: Marau População: 45.124","alta",""
"Marcelino Ramos","vermelho","semáforo (verde/vermelho)","N/A","4320","populacao total","Segundo dados do IBGE (2023), o Município possui 4.320 habitantes","alta",""
"Mariana Pimentel","vermelho","semáforo (verde/vermelho)","N/A","3.916","populacao total","Tem uma população de aproximadamente 3.916 habitantes (Censo 2022)","alta",""
"Marques de Souza","verde","semáforo (verde/vermelho)","1655","3969","residentes em area de risco","Total people listed: 1,655. Source: Levantamento SGB.[ref_id:1] / municipality population (3,969 inhabitants).[ref_id:0]","alta",""
"Mata","vermelho","semáforo (verde/vermelho)","N/A","5.111","populacao total","Nome: Mata População: 5.111 Área: 311,883 km ²","alta",""
"Mato Castelhano","vermelho","semáforo (verde/vermelho)","N/A","2553","populacao total","População estimada : 2.553- Censo IBGE 2022","alta",""
"Mato Leitão","vermelho","semáforo (verde/vermelho)","N/A","4.859","populacao total","Nome: Mato Leitão/RS População: 4.859 ( IBGE/2022 ) Área: 46,916 Km2 (IBGE/2022)","alta",""
"Maximiliano de Almeida","vermelho","semáforo (verde/vermelho)","N/A","4191","populacao total","População: 4.191","alta",""
"Minas do Leão","vermelho","semáforo (verde/vermelho)","N/A","7.505","populacao total","População: 7.505","alta",""
"Montenegro","vermelho","semáforo (verde/vermelho)","N/A","63.624","populacao total","Censo do IBGE apontou uma população de 63.624 habitantes","alta",""
"Mormaço","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","População Tipo Quantidade Complemento Família 368 Famílias inscritas no Programa CAD Único; Residências populares 184 Residências cadastradas no bolsa família","alta",""
"Morro Redondo","vermelho","semáforo (verde/vermelho)","N/A","6046","populacao total","População: 6046 (IBGE/2022)","alta",""
"Morro Reuter","vermelho","semáforo (verde/vermelho)","N/A","6.029","populacao total","População: estimativa - IBGE 2022 - Morro Reuter tem 6.029 (seis mil e vinte e nove) habitantes.","alta",""
"Muliterno","vermelho","semáforo (verde/vermelho)","N/A","1.721","populacao total","Possui uma população estimada (2022) de 1.721 habitantes","alta",""
"Nicolau Vergueiro","vermelho","semáforo (verde/vermelho)","N/A","1932","populacao total","População 1.932 (Censo IBGE 2023)","alta",""
"Nova Alvorada","vermelho","semáforo (verde/vermelho)","N/A","3163","populacao total","População: 3163","alta",""
"Nova Bréscia","vermelho","semáforo (verde/vermelho)","N/A","3.321 habitantes","populacao total","O Município de Nova Bréscia possui atualmente, segundo último levantamento do IBGE 3.321 habitantes.","alta",""
"Nova Esperança do Sul","vermelho","semáforo (verde/vermelho)","N/A","4865","populacao total","Population: 4,865; Section 4 — ""Áreas de Risco do Município"": lista locais de risco (Barragem da Corsan, Córregos, Partes Altas Bairro Vila Nova, Barragem Da Gobba Leather) — não há indicação de número de residentes em áreas de risco.","alta",""
"Nova Hartz","vermelho","semáforo (verde/vermelho)","N/A","20.088 habitantes","populacao total","População: 20.088 habitantes","alta",""
"Nova Palma","vermelho","semáforo (verde/vermelho)","N/A","5586","populacao total","Basic facts: population 5,586 (census 2022) and Áreas de risco do município: ""Todo território municipal"" — não há número específico de residentes em áreas de risco no documento.","alta",""
"Nova Santa Rita","vermelho","semáforo (verde/vermelho)","N/A","aprox. 26.450 (ou ~29.000 em outra página)","populacao total","O PLANO apresenta referência demográfica geral: ""breve referência a Nova Santa Rita (approx. 26,450 habitantes, near Porto Alegre, river basins)"" e em outra página cabeçalho indica ""população (~29,000)""; não há número específico de pessoas/famílias que residem em áreas de risco.","alta",""
"Novo Cabrais","vermelho","semáforo (verde/vermelho)","N/A","3.568","populacao total","População: 3.568 habitantes Área: 192.998 km²","alta",""
"Novo Hamburgo","verde","semáforo (verde/vermelho)","8400","227732","residentes em area de risco","possui no perímetro elencado como área de riscos de inundações, aproximadamente 2.100 imóveis e 8.400 pessoas em risco, conforme o último mapeamento realizado em Novembro de 2019, pelo CPRM junto à Defesa Civil Municipal.","alta",""
"Não-Me-Toque","vermelho","semáforo (verde/vermelho)","N/A","15936","populacao total","População:15936 Identificação dos possíveis danos: approx. 300 residences, 0 public buildings, about 950 affected; affected area characterized as RURAL.","alta",""
"Paim Filho","vermelho","semáforo (verde/vermelho)","N/A","3.629","populacao total","Município: Paim Filho/RS População: 3.629","alta",""
