"municipio","valor","unidade","ano_plano","data_plano","evidencia","confianca","erro"
"Butiá","verde","semáforo (verde/amarelo/vermelho)","2025","03 de julho de 2025","Butiá, RS, 03 de julho de 2025.","alta",""
"Cacequi","verde","semáforo (verde/amarelo/vermelho)","2025","maio/2025","INUNDAÇÕES, ENXURRADAS, ALAGAMENTOS, GRANIZO E VENDAVAL maio/2025","alta",""
"Cachoeira do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2023","VERSÃO REVISADA EM JULHO DE 2023","VERSÃO REVISADA EM JULHO DE 2023.","alta",""
"Cachoeirinha","amarelo","semáforo (verde/amarelo/vermelho)","2023","11 de agosto de 2023","DECRETO N.º 7794, DE 11 DE AGOSTO DE 2023 Aprova o Plano de Contingências de Proteção e Defesa Civil de Cachoeirinha","alta",""
"Cacique Doble","verde","semáforo (verde/amarelo/vermelho)","2025","Abril/2025.","Município de CACIQUE DOBLE/ RS Abril/2025.","alta",""
"Camaquã","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA ... MUNICÍPIO DE CAMAQUÃ/ RS 2025","alta",""
"Camargo","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA MULTIRRISCO - CAMARGO/RS - 2025","alta",""
"Campo Bom","verde","semáforo (verde/amarelo/vermelho)","2025","30/06/2025","VERSÃO: INICIAL / 2025 ÚLTIMA ATUALIZAÇÃO: 30/06/2025","alta",""
"Campos Borges","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro 2025","Município de Campos Borges/ RS Janeiro 2025","alta",""
"Candelária","verde","semáforo (verde/amarelo/vermelho)","2025","CANDELÁRIA/RS 2025","PLANO DE CONTINGÊNCIA \n\nCANDELÁRIA/RS 2025","alta",""
"Canguçu","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","PLANO DE CONTINGÊNCIA Município de Canguçu/RS Março/2025","alta",""
"Canoas","verde","semáforo (verde/amarelo/vermelho)","2025","22 de dezembro de 2025 (Decreto nº 403, de 22 de dezembro de 2025; publicação edição 30/12/2025)","Aprova o Plano de Contingência ... DECRETO Nº 403, DE 22 DE DEZEMBRO DE 2025. ... MUNICÍPIO DE CANOAS, em vinte e dois de dezembro de dois mil e vinte e cinco (22.12.2025). ANEXO ÚNICO ANO 2025 - Edição 3747 - Data 30/12/2025","alta",""
"Canudos do Vale","verde","semáforo (verde/amarelo/vermelho)","2025","JANEIRO/2025","JANEIRO/2025.","alta",""
"Capela de Santana","amarelo","semáforo (verde/amarelo/vermelho)","2024","28 de maio de 2024","Capela de Santana, RS, 28 de maio de 2024","alta",""
"Capitão","verde","semáforo (verde/amarelo/vermelho)","2025","2025","DEFESA CIVIL CAPITÃO/RS 2025","alta",""
"Capão Bonito do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","06/2025","""06/2025.""","alta",""
"Capão do Cipó","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA \n\n2025","alta",""
"Capão do Leão","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro de 2025","PLANO DE CONTINGÊNCIA Município de Capão do Leão/ RS Outubro de 2025.","alta",""
"Carazinho","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","Carazinho, localizado no estado do Rio Grande do Sul, possui uma população estimada de 63.638 habitantes, conforme dados do IBGE para o ano de 2024.","media",""
"Carlos Gomes","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","baixa",""
"Casca","verde","semáforo (verde/amarelo/vermelho)","2025","Atualização abril de 2025","GRANIZO E VENDAVAL 2ª EDIÇÃO Atualização abril de 2025","alta",""
"Caseiros","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","Plano de Contingência MUNICÍPIO DE CASEIROS Dados do Município Município: Caseiros População: 3007 ... (conteúdo do plano recuperado) — nenhum campo de data de publicação/revisão encontrado","alta",""
"Centenário","verde","semáforo (verde/amarelo/vermelho)","2025","Abril/2025","""Município de CENTENÁRIO/ RS"" ... ""Abril/2025.""","alta",""
"Cerrito","verde","semáforo (verde/amarelo/vermelho)","2025","2025-07-22T16:47:06+0000","2025-07-22T16:47:06+0000","alta",""
"Cerro Branco","amarelo","semáforo (verde/amarelo/vermelho)","2023","julho/2023","""Município de Cerro Branco/ RS"" e ""julho/2023.""","alta",""
"Cerro Grande do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","07/03/2025","Plano Municipal de Contingência de Proteção e Defesa Civil – PLAMCON ( 07/03/2025)","alta",""
"Charqueadas","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","Relatório do Último Desastre Natural - 2024.","alta",""
"Charrua","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","alta",""
"Chuvisca","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","alta",""
"Chuí","verde","semáforo (verde/amarelo/vermelho)","2025","2025/ 2026","Município do CHUÍ/ RS 2025/ 2026.","alta",""
"Ciríaco","verde","semáforo (verde/amarelo/vermelho)","2025","23 de maio de 2025","""Ciríaco /RS, 23 de maio de 2025."" [ref_id:2]","alta",""
"Colinas","verde","semáforo (verde/amarelo/vermelho)","2025","Julho de 2025","3ª EDIÇÃO Julho de 2025","alta",""
"Colorado","verde","semáforo (verde/amarelo/vermelho)","2025","MARÇO, 2025","MARÇO, 2025.","alta",""
"Coqueiro Baixo","verde","semáforo (verde/amarelo/vermelho)","2025","outubro/2025","Município de Coqueiro Baixo. outubro/2025.","alta",""
"Coxilha","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Cristal","verde","semáforo (verde/amarelo/vermelho)","2025","Junho/2025","PLANO DE CONTINGÊNCIA Município de Cristal - RS Junho/2025","alta",""
"Cruz Alta","verde","semáforo (verde/amarelo/vermelho)","2025","Março 2025","Março 2025","alta",""
"Cruzeiro do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Versão 09/2025 - 1ª Edição","Versão 09/2025 - 1ª Edição","alta",""
"David Canabarro","verde","semáforo (verde/amarelo/vermelho)","2025","26/05/2025","ÚLTIMA ATUALIZAÇÃO: 26/05/2025","alta",""
"Dilermando de Aguiar","verde","semáforo (verde/amarelo/vermelho)","2025","Maio/2025","Maio/2025.","alta",""
"Dois Irmãos","verde","semáforo (verde/amarelo/vermelho)","2026","Ano: 2026","Ano: 2026","alta",""
"Dois Lajeados","verde","semáforo (verde/amarelo/vermelho)","2025","2025.10.23","Dados: 2025.10.23 15:52:45 -03'00'","alta",""
"Dom Feliciano","verde","semáforo (verde/amarelo/vermelho)","2025","05/11/2025","Município de Dom Feliciano / RS"" e a data ""05/11/2025.""","alta",""
"Dona Francisca","verde","semáforo (verde/amarelo/vermelho)","2025","2025-06-25 13:14:17.0","ÚLTIMA ATUALIZAÇÃO: 2025-06-25 13:14:17.0","alta",""
"Doutor Ricardo","verde","semáforo (verde/amarelo/vermelho)","2025","24 de outubro de 2025","Doutor Ricardo, 24 de outubro de 2025.","alta",""
"Eldorado do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Ano: 2025","Órgão: SECDEF Ano: 2025","alta",""
"Encantado","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Plano de Contingência Encantado 2025","alta",""
"Encruzilhada do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","02 de Janeiro de 2025","02 de Janeiro de 2025.","alta",""
"Erebango","verde","semáforo (verde/amarelo/vermelho)","2025","PLANO DE CONTINGÊNCIA 2025","PLANO DE CONTINGÊNCIA 2025","alta",""
"Erechim","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA 2025","alta",""
"Ernestina","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro/2025","Janeiro/2025.","alta",""
"Espumoso","amarelo","semáforo (verde/amarelo/vermelho)","2023","JULHO / 2023","PLANO DE CONTINGÊNCIA. Município de Espumoso/ RS. JULHO / 2023","alta",""
"Estação","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro/2025","Município de Estação/RS Janeiro/2025","alta",""
"Esteio","verde","semáforo (verde/amarelo/vermelho)","2025","31/07/2025","Plano Municipal de Contingência de Proteção e Defesa Civil – PLAMCON (Versão 6 – atualizada em 31/07/2025)","alta",""
"Estrela Velha","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Município de Estrela Velha/ RS"" e abaixo it the year ""2025.""","alta",""
"Estrela","verde","semáforo (verde/amarelo/vermelho)","2025","Versão 01/2025","2025\n\nVersão 01/2025","alta",""
"Estância Velha","verde","semáforo (verde/amarelo/vermelho)","2025","PLACON 2025/2028","PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL PLACON 2025/2028","alta",""
"Faxinal do Soturno","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","""ANO: [INSERIR ANO]""","alta",""
"Fazenda Vilanova","verde","semáforo (verde/amarelo/vermelho)","2025","24 de outubro de 2025","Fazenda Vilanova, 24 de outubro de 2025.","alta",""
"Feliz","amarelo","semáforo (verde/amarelo/vermelho)","2023","06 de abril de 2023","MUNICÍPIO DE FELIZ / RS"" e a data ""06 de abril de 2023""","alta",""
"Floriano Peixoto","amarelo","semáforo (verde/amarelo/vermelho)","2023","2023","Histórico da recorrência: Ocorreu nos anos 2014, 2016, 2017,2018 e 2023.","media",""
"Fontoura Xavier","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL 2025.","alta",""
"Formigueiro","amarelo","semáforo (verde/amarelo/vermelho)","2023","2023","Município de Formigueiro / RS"" e beneath it the year ""2023""","alta",""
"Forquetinha","verde","semáforo (verde/amarelo/vermelho)","2025","Versão: 01/2025","PLANO DE CONTINGÊNCIA\n\nVersão: 01/2025","alta",""
"Fortaleza dos Valos","verde","semáforo (verde/amarelo/vermelho)","2025","28 abril de 2025","Município de Fortaleza dos Valos/RS 2025.[ref_id:0] / Fortaleza dos Valos/RS, 28 abril de 2025[ref_id:2]","alta",""
"Gaurama","verde","semáforo (verde/amarelo/vermelho)","2025","Maio/2025","Maio/2025.","alta",""
"Gentil","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA 2025","alta",""
"Getúlio Vargas","verde","semáforo (verde/amarelo/vermelho)","2025","maio/2025","PLANO DE CONTINGÊNCIA Municipio de Getúlio Vargas/ RS maio/ 2 0 2 5 .","alta",""
"Glorinha","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","media",""
"Gramado Xavier","verde","semáforo (verde/amarelo/vermelho)","2025","MAIO/2025","MAIO/2025.","alta",""
"Gravataí","verde","semáforo (verde/amarelo/vermelho)","2025","Agosto de 2025","Gravataí/RS 1ª edição, Agosto de 2025[ref_id:0][ref_id:1]","alta",""
"Guaíba","amarelo","semáforo (verde/amarelo/vermelho)","2023","27/11/2023","Atualização 27/11/2023","alta",""
"Harmonia","verde","semáforo (verde/amarelo/vermelho)","2025","14 de fevereiro de 2025","Harmonia, 14 de fevereiro de 2025","alta",""
"Herval","verde","semáforo (verde/amarelo/vermelho)","2025","23 de abril de 2025","Herval/RS 23 de abril de 2025.","alta",""
"Herveiras","verde","semáforo (verde/amarelo/vermelho)","2025","22/08/2025","PLANO DE CONTINGÊNCIA PARA CHUVAS INTENSAS ... Herveiras 22/08/2025","alta",""
"Ibarama","amarelo","semáforo (verde/amarelo/vermelho)","2024","22/05/2024","APROVADO EM 22/05/2024","alta",""
"Ibiaçá","amarelo","semáforo (verde/amarelo/vermelho)","2021","MAIO/2021","IBIAÇÁ – RS MAIO/2021","alta",""
"Ibiraiaras","verde","semáforo (verde/amarelo/vermelho)","2025","Junho/2025","""Junho/2025.""","alta",""
"Ibirapuitã","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA MUNICÍPIO DE IBIRAPUITÃ 2025","alta",""
"Ibirubá","amarelo","semáforo (verde/amarelo/vermelho)","2023","JULHO / 2023","Município de IBIRUBÁ / RS — JULHO / 2023","alta",""
"Igrejinha","amarelo","semáforo (verde/amarelo/vermelho)","2023","Novembro 2023","Novembro 2023","alta",""
"Ilópolis","verde","semáforo (verde/amarelo/vermelho)","2025","outubro de 2025","Ilópolis, outubro de 2025","alta",""
"Imigrante","verde","semáforo (verde/amarelo/vermelho)","2025","24 de outubro de 2025","Imigrante / RS, 24 de outubro de 2025.","alta",""
"Ipiranga do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro/2025","Município de IPIRANGA DO SUL / RS"" and ""Janeiro/2025.","alta",""
"Itaara","amarelo","semáforo (verde/amarelo/vermelho)","2023","04/07/2023","Date shown: ""04/07/2023.""","alta",""
"Itapuca","verde","semáforo (verde/amarelo/vermelho)","2025","MAIO/2025","MAIO/2025","alta",""
"Ivorá","verde","semáforo (verde/amarelo/vermelho)","2025","2025/2026","data range ""2025/2026""","alta",""
"Ivoti","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","baixa",""
"Jacuizinho","amarelo","semáforo (verde/amarelo/vermelho)","2023","Julho/ 2023","PLANO DE CONTINGÊNCIA Município de Jacuizinho/ RS Julho/ 2023.","alta",""
"Jaguari","verde","semáforo (verde/amarelo/vermelho)","2025","JULHO /2025","PLANO DE CONTINGÊNCIA MUNICÍPIO DE JAGUARI / RS JULHO /2025","alta",""
"Jaguarão","verde","semáforo (verde/amarelo/vermelho)","2025","2025","JAGUARÃO – 2025","alta",""
"Jari","amarelo","semáforo (verde/amarelo/vermelho)","2023","11 de julho de 2023","Jari/RS, 11 de julho de 2023.","alta",""
"Júlio de Castilhos","verde","semáforo (verde/amarelo/vermelho)","2025","Júlio de Castilhos/RS 2025","Júlio de Castilhos/RS 2025","alta",""
"Lagoa Bonita do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","03 de julho de 2025","""03 de julho de 2025.""","alta",""
"Lagoa Vermelha","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","baixa",""
"Lagoa dos Três Cantos","amarelo","semáforo (verde/amarelo/vermelho)","2023","01/12/2023","timestamp (01/12/2023 12:58) e cabeçalho ""SEGRID - Sistema Estadual de Gestão Integrada de Riscos e Desastres"" presentes no documento referente a Lagoa dos Três Cantos","alta",""
"Lagoão","verde","semáforo (verde/amarelo/vermelho)","2025","MAIO/ 2025.","MAIO/ 2025.","alta",""
"Lajeado","verde","semáforo (verde/amarelo/vermelho)","2025","Versão fev 2025","Versão fev 2025","alta",""
"Lindolfo Collor","amarelo","semáforo (verde/amarelo/vermelho)","2023","2023-11-23 12:59:33.0","ÚLTIMA ATUALIZAÇÃO: 2023-11-23 12:59:33.0","alta",""
"Linha Nova","verde","semáforo (verde/amarelo/vermelho)","2026","Atualizado em 11 março de 2026","Atualizado em 11 março de 2026","alta",""
"Machadinho","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","No ano de 2024, serão realizados testes externos com a população.","alta",""
"Maratá","verde","semáforo (verde/amarelo/vermelho)","2025","JUNHO/2025","JUNHO/2025","alta",""
"Marau","amarelo","semáforo (verde/amarelo/vermelho)","2023","01/11/2023","01/11/2023, 14:34 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"Marcelino Ramos","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Marcelino Ramos 2025","alta",""
"Mariana Pimentel","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Plano de Contingência de Eldorado do Sul – 2025. Disponível em: https://defesacivil.eldorado.rs.gov.br/decretos/6839d357546aa_Plano%20de%20Conting%C3%AAncia%20de%20Eldorado%20do%20Sul%20-%202025a.pdf. Acesso em: 27 de nov.2025.","baixa",""
"Marques de Souza","verde","semáforo (verde/amarelo/vermelho)","2025","PLANO DE CONTINGÊNCIA 2025 Marques de Souza/RS","Título: ""PLANO DE CONTINGÊNCIA 2025 Marques de Souza/RS""","alta",""
"Mata","amarelo","semáforo (verde/amarelo/vermelho)","2023","Junho/2023","Município de Mata/ RS Junho/2023.","alta",""
"Mato Castelhano","verde","semáforo (verde/amarelo/vermelho)","2025","27/05/2025","ÚLTIMA ATUALIZAÇÃO: 27/05/2025","alta",""
"Mato Leitão","verde","semáforo (verde/amarelo/vermelho)","2025","2025","MATO LEITÃO/RS 2025","alta",""
"Maximiliano de Almeida","verde","semáforo (verde/amarelo/vermelho)","2025","Versão 001/2025, atualizada em 18/02/2025","Versão 001/2025, atualizada em 18/02/2025","alta",""
"Minas do Leão","verde","semáforo (verde/amarelo/vermelho)","2025","JULHO/ 2025","PLANO DE CONTINGÊNCIA Município de MINAS DO LEÃO- RS JULHO/ 2025","alta",""
"Montenegro","amarelo","semáforo (verde/amarelo/vermelho)","2023","2023","MONTENEGRO / RS 2023","alta",""
"Mormaço","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","VERSÃO: ÚLTIMA ATUALIZAÇÃO:","alta",""
"Morro Redondo","verde","semáforo (verde/amarelo/vermelho)","2025","Abril/2025","Abril/2025.\n\nVersão: 1\nÚltima Atualização: Abril/2025","alta",""
"Morro Reuter","amarelo","semáforo (verde/amarelo/vermelho)","2023","Janeiro/2023","Janeiro/2023.","alta",""
"Muliterno","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL ... 2025","alta",""
"Nicolau Vergueiro","verde","semáforo (verde/amarelo/vermelho)","2025","MAIO/2025","MAIO/2025","alta",""
"Nova Alvorada","verde","semáforo (verde/amarelo/vermelho)","2025","29 de maio de 2025","Nova Alvorada, 29 de maio de 2025.","alta",""
"Nova Bréscia","verde","semáforo (verde/amarelo/vermelho)","2025","JULHO / 2025","PLANO DE CONTINGÊNCIA Município de NOVA BRÉSCIA - RS JULHO / 2025.","alta",""
"Nova Esperança do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2023","Julho / 2023","Municipio de Nova Esperança do Sul / RS"" and the date ""Julho / 2023.","alta",""
"Nova Hartz","verde","semáforo (verde/amarelo/vermelho)","2025","MAIO/ 2025","PLANO DE CONTINGÊNCIA MUNICÍPIO DE NOVA HARTZ / RS MAIO/ 2025","alta",""
"Nova Palma","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Nova Santa Rita","amarelo","semáforo (verde/amarelo/vermelho)","2024","Maio / 2024","Maio / 2024.","alta",""
"Novo Cabrais","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Novo Hamburgo","verde","semáforo (verde/amarelo/vermelho)","2025","maio de 2025","Novo Hamburgo, maio de 2025","alta",""
"Não-Me-Toque","amarelo","semáforo (verde/amarelo/vermelho)","2023","10/07/2023","10/07/2023, 12:31 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"Paim Filho","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA 2025","alta",""
"Pantano Grande","verde","semáforo (verde/amarelo/vermelho)","2025","JULHO/2025","JULHO/2025","alta",""
"Paraíso do Sul","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","Documento apresenta título ""PLANO DE CONTINGÊNCIA"" e conteúdo do plano, mas não contém data de publicação ou revisão visível nas páginas recuperadas.","alta",""
"Pareci Novo","verde","semáforo (verde/amarelo/vermelho)","2025","Revisão maio/2025","Revisão maio/2025.","alta",""
"Parobé","verde","semáforo (verde/amarelo/vermelho)","2025","01/2025","01/2025.","alta",""
"Passa Sete","verde","semáforo (verde/amarelo/vermelho)","2025","Março 2025","""Março 2025.""","alta",""
"Passo Fundo","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","PLANO DE CONTINGÊNCIA Passo Fundo/RS 2024 PLANO MUNICIPAL DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL PLANCON 2024","alta",""
"Passo do Sobrado","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","alta",""
"Paverama","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro/2025","Município de Paverama/RS. Outubro/2025.","alta",""
"Pedras Altas","verde","semáforo (verde/amarelo/vermelho)","2025","2° Versão 2025","2° Versão 2025","alta",""
"Pedro Osório","verde","semáforo (verde/amarelo/vermelho)","2025","2025","""Município de PEDRO OSÓRIO/RS"" e o ano ""2025"" no cabeçalho da capa do PLANO DE CONTINGÊNCIA","alta",""
"Pelotas","amarelo","semáforo (verde/amarelo/vermelho)","2023","novembro de 2023","Pelotas, novembro de 2023.","alta",""
"Pinhal Grande","verde","semáforo (verde/amarelo/vermelho)","2025","setembro de 2025","""Município de Pinhal Grande/ RS"" e ""setembro de 2025.""","alta",""
"Pinheiro Machado","verde","semáforo (verde/amarelo/vermelho)","2025","2025","""Município de Pinheiro Machado/RS"" e o ano ""2025"" na capa do Plano Municipal de Contingência","alta",""
"Piratini","verde","semáforo (verde/amarelo/vermelho)","2025","ANO-2025","PLANO DE CONTINGÊNCIA ANO-2025 – PIRATINI","alta",""
"Porto Alegre","verde","semáforo (verde/amarelo/vermelho)","2025","Aprovada 31 de jul. de 2025","➔ REVISÃO Aprovada 31 de jul. de 2025","alta",""
"Portão","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL Coordenadoria Municipal de Proteção e Defesa Civil 2025","alta",""
"Pouso Novo","verde","semáforo (verde/amarelo/vermelho)","2025","2025-10-17T13:45:12-0300","Plano de resposta ao incidente\n\n\t\t2025-10-17T13:45:12-0300","alta",""
"Poço das Antas","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO MUNICIPAL DE CONTINGÊNCIA ... MUNICÍPIO DE POÇO DAS ANTAS - RS"" e o ano ""2025""","alta",""
"Presidente Lucena","verde","semáforo (verde/amarelo/vermelho)","2025","Atualizado em fevereiro/2025","AGOSTO/2017. Atualizado em fevereiro/2025","alta",""
"Progresso","verde","semáforo (verde/amarelo/vermelho)","2025","21 de outubro de 2025","Progresso, 21 de outubro de 2025","alta",""
"Putinga","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","media",""
"Quevedos","verde","semáforo (verde/amarelo/vermelho)","2025","20 de janeiro de 2025","Quevedos, 20 de janeiro de 2025","alta",""
"Quinze de Novembro","amarelo","semáforo (verde/amarelo/vermelho)","2023","Janeiro/2023","PLANO DE CONTINGÊNCIA Município de Quinze de Novembro/ RS Janeiro/2023.","alta",""
"Relvado","verde","semáforo (verde/amarelo/vermelho)","2025","Maio/2025","Maio/2025","alta",""
"Restinga Sêca","verde","semáforo (verde/amarelo/vermelho)","2025","JUNHO/2025","RESTINGA SÊCA/ RS JUNHO/2025","alta",""
"Rio Grande","verde","semáforo (verde/amarelo/vermelho)","2025","Rio Grande, junho de 2025.","Rio Grande, junho de 2025.","alta",""
"Rio Pardo","verde","semáforo (verde/amarelo/vermelho)","2025","VERSÃO OUTUBRO / 2025","PLANO DE CONTINGÊNCIA DEFESA CIVIL RIO PARDO – RS VERSÃO OUTUBRO / 2025","alta",""
"Riozinho","amarelo","semáforo (verde/amarelo/vermelho)","2024","JANEIRO DE 2024","JANEIRO DE 2024","alta",""
"Roca Sales","verde","semáforo (verde/amarelo/vermelho)","2025","Fevereiro de 2025","Roca Sales, RS. Fevereiro de 2025","alta",""
"Rolante","amarelo","semáforo (verde/amarelo/vermelho)","2023","12/09/2023","ÚLTIMA ATUALIZAÇÃO: 12/09/2023","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/amarelo/vermelho)","2017","SETEMBRO/ 2017","Município de Saldanha Marinho/ RS"" e então ""SETEMBRO/ 2017.""","alta",""
"Salto do Jacuí","verde","semáforo (verde/amarelo/vermelho)","2025","ABRIL 2025","ABRIL 2025.","alta",""
"Salvador do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2023","Janeiro/2023","PLANO DE CONTINGÊNCIA Município de Salvador do Sul/ RS Janeiro/2023","alta",""
"Sananduva","verde","semáforo (verde/amarelo/vermelho)","2025","2025","""Histórico da recorrência: 2025""","media",""
