"municipio","valor","unidade","n_canais_alerta","meios_alerta","evidencia","confianca","erro"
"Cacequi","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,telefonia (telefone),comunicação via rádio (rádio de serviço/rádio institucional)","9.1.3 ""Alerta"" descrevendo quem issues alerts (prefeita or coordenadora), triggers (previsões de chuva intensa), e canais de notificação (telefone, email, radio, in person). [ref_id:9]","media",""
"Cachoeira do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2","divulgação através dos canais disponíveis (assessoria de imprensa / veículos de imprensa),emitir alerta à população através de todos os meios disponíveis (sem detalhar quais)","""1.3 Recebimento de Aviso e Divulgação: Ação de recebimento de avisos e alertas e transmissão através dos canais disponíveis"" [ref_id:5] ""5.4 Emitir alerta a população através de todos os meios disponíveis"" [ref_id:3]","media",""
"Cachoeirinha","amarelo","semáforo (verde/amarelo/vermelho)","1","Grupos de WhatsApp (difusão)","Comunicar COPAE - Grupo Whatsapp"" e ""Comunicar CMU - Grupo Whatsapp""","media",""
"Cacique Doble","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio,site da Prefeitura (online)","A comunidade sera avisada por meio das radios, on-line (site da Prefeitura Municipal) e jornais de circulacao na regiao.[ref_id:6]","alta",""
"Camaquã","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Camargo","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio","ações — clearing drains and roads, emergency shelters, radio alerts","media",""
"Campo Bom","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,grupos de WhatsApp,site da prefeitura / Instagram (rede social)","O alarme poderá ser determinado pelo coordenador do Comdec... realizado e atualizado por meio de telefone, rádio, grupos de whatsapp, Instagram e site da prefeitura para outros órgãos de resposta e de telefone ou rádio para as comunidades afetadas.","alta",""
"Campos Borges","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Candelária","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio/mídia (veicular ""Informar via mídia"")","Informar via mídia sobre bloqueios e desvios","media",""
"Canguçu","amarelo","semáforo (verde/amarelo/vermelho)","2","Internet (aba na página da prefeitura),Rádio","AVISOS • Canais: Internet, Rádio [ref_id:1][ref_id:7]","alta",""
"Canoas","amarelo","semáforo (verde/amarelo/vermelho)","1","preparar boletins e enviar ao Departamento de Comunicação Social (difusão pública)","prepare official bulletins and send them to the Department of Social Communication; prepare FIDE and opinions in the Integrated Disaster Information System","media",""
"Canudos do Vale","amarelo","semáforo (verde/amarelo/vermelho)","1","redes sociais","""O alarme será emitido, quando os critérios no item 3.5.1 deste Plano forem verificados, por integrantes do Departamento de Defesa Civil e órgão de apoio. Será notificado via redes sociais entre outros."" [ref_id:1]","alta",""
"Capela de Santana","verde","semáforo (verde/amarelo/vermelho)","4","rádio,carro de som/alto-falante,site municipal (divulgação),redes sociais","como a comunidade será avisada (rádio, sound cars, municipal website and social networks).","alta",""
"Capitão","verde","semáforo (verde/amarelo/vermelho)","5","Grupo público da Defesa Civil no WhatsApp (mensagem de difusão),Grupos de alta abrangência (EMATER e agricultura) (WhatsApp/grupos de difusão),Redes sociais oficiais da Prefeitura Municipal (postagem de alertas),Carros de som/alto-falante,Protocolo multicanal coordenado pela COMPDEC (divulgação de alertas via plataformas oficiais e WhatsApp)","Os meios utilizados serão: • Grupo público da Defesa Civil no WhatsApp: (51) 3840-0257; • Grupos de alta abrangência e relevância, como grupos da EMATER e da agricultura, para disseminar informações ... • Redes sociais oficiais da Prefeitura Municipal; • Carros de som, especialmente nas localidades rurais ...; Protocolo de Comunicação com a População: será adotado um protocolo multicanal de comunicação, coordenado pela COMPDEC ... os alertas serão divulgados de forma clara, acessível ... (DOCUMENTO PLACON CAPITÃO)","alta",""
"Capão Bonito do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento descreve objetivos, ativação do plano, áreas de risco e ações de resposta (abrigo, alimentação, atendimento médico, distribuição de lona) e lista contatos/telefones de autoridades; não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais para emissão de alerta à população.","alta",""
"Capão do Cipó","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Elaborar Boletins Oficiais (BO) e enviar ao Departamento de Comunicação Social; Difundir, através dos organismos de comunicação, os Boletins Oficiais.","alta",""
"Capão do Leão","amarelo","semáforo (verde/amarelo/vermelho)","1","WhatsApp de difusão","Somente\nWhatsap","alta",""
"Carazinho","verde","semáforo (verde/amarelo/vermelho)","5","Redes sociais oficiais da prefeitura e Defesa Civil,Rádio comunitária e emissoras locais,Carros de som,Aplicativos de alerta da Defesa Civil estadual,Alertas via SMS 40199","Os meios de comunicação utilizados serão: - Redes sociais oficiais da prefeitura e Defesa Civil - Rádio comunitária e emissoras locais - Carros de som - Aplicativos de alerta da Defesa Civil estadual; Monitoramento e Alerta ... - Alertas via SMS 40199","alta",""
"Carlos Gomes","verde","semáforo (verde/amarelo/vermelho)","5","Internet,Telefone,Rádio,Carro de Som/Alto-falante,Sino da Igreja","AVISOS Internet, Telefone, Rádio, Carro de Som, Sino da Igreja.","alta",""
"Casca","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio comunitária / Rádio Seara (difusão),rádio comunicadores,telefone / e-mail (divulgação de alertas)","""Recursos Mínimos Previstos ... • Rádio Comunitária • Rádio Seara"" ; ""O alerta é realizado por meio de telefone, e-mail, rádios comunicadores ou presencialmente"" ; ""Por meio do Departamento de Comunicação, iniciar o trabalho de divulgação de Alertas emitidos pela COMPDEC, confeccionando comunicados para todos os recursos de mídia do município e região""","media",""
"Caseiros","amarelo","semáforo (verde/amarelo/vermelho)","3","Sino da igreja (sistema de alarme sonoro),Internet e redes sociais,Telefone (avisos)","Será utilizado o Sino da Igreja Matriz Nossa Senhora Da Conceição.[ref_id:0] Alertas: Daniel Martini Bozza ( Internet e redes sociais) [ref_id:0] Avisos: Telefone[ref_id:0]","media",""
"Centenário","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site/online (website municipal),jornal local","A comunidade será notificada via radio, online (municipal website) and local newspapers.","alta",""
"Cerrito","amarelo","semáforo (verde/amarelo/vermelho)","1","mídia local / ações da mídia (difusão continuada)","Simultaneamente, com o uso de recursos de informação da própria estrutura local de gestão e também com o uso combinado das ações da mídia local, difundir continuadamente as orientações sobre a magnitude do evento, seu agravamento ou não e das ações necessárias para proteção.","media",""
"Cerro Branco","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio, redes sociais ou WhatsApp como meios de emissão de alerta à população no documento recuperado.","alta",""
"Cerro Grande do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2","telefonema via Coordenador da Defesa Civil / lideranças comunitárias,publicação no site do município / divulgação nos meios de comunicação locais (Diretoria de Comunicação)","""O alerta poderá ser determinado pelo Coordenador da Defesa Civil, ... será realizado e atualizado por meio de telefone para outros Órgãos de resposta e através das lideranças comunitárias para as comunidades afetadas.""; ""Além dos meios referidos, o alerta será complementado pela Diretoria de Comunicação através de publicação no site do município e divulgação nos meios de comunicação locais.""","alta",""
"Charqueadas","amarelo","semáforo (verde/amarelo/vermelho)","1","sirenes,aplicativos de celular,redes sociais","Implementar sistema de ALERTA, nas Áreas de Risco, através de meios de comunicações e redes sociais (mídia, sirenes, aplicativos de celular, etc), permitindo a mobilização e a remoção dos moradores no caso de risco iminente.","media",""
"Charrua","verde","semáforo (verde/amarelo/vermelho)","4","Internet,Rádio,Sino da Igreja,Telefone (lista de avisos)","Avisos\n\nInternet, Radio, Sino da Igreja, Telefone,","alta",""
"Chuvisca","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Chuí","amarelo","semáforo (verde/amarelo/vermelho)","1","Boletins Oficiais (Departamento de Comunicação Social)","Elaborar Boletins Oficiais e enviar ao Departamento de Comunicação Social;","media",""
"Ciríaco","verde","semáforo (verde/amarelo/vermelho)","4","Internet,Carro de som,Rádio,Sino da igreja","AVISOS lnternet, Carro de som, Radio, Sino da lgreja, Telefone,","alta",""
"Colinas","verde","semáforo (verde/amarelo/vermelho)","6","telefone e aplicativos de mensagens (mensagem em massa/SMS/WhatsApp de difusão),rádios (rádios de Estrela e Lajeado),redes sociais (alimentar redes sociais do município / postagens),sinalização do trânsito (rotas/avisos) - alto-falante/carros de som implícito em comunicações locais,grupo de aplicativo de mensagem (WhatsApp de difusão / grupos),aplicativos de mensagens conforme cota das habitações (aplicativo de celular)","“COMUNICAR a população em área de risco (via telefone e aplicativos de mensagens conforme cota das habitações)” / “COMUNICAR rádios e jornais a respeito de ações tomadas para que possam ser divulgadas a região;” / “Alimentar com informações as redes sociais do município.” / “Sinalização do trânsito, estabelecendo rotas alternativas de acesso e evacuação;” / “COMUNICAR as pessoas voluntárias via grupo de aplicativo de mensagem;”","alta",""
"Colorado","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (difusão)","Jornal Digital Colorado em Foco ... Jornal JE Acontece ... Rádio Ibirubá (54) 3324-1758 ou (54) 99608 3496","media",""
"Coqueiro Baixo","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio,site da Prefeitura (on-line)","A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal) e mailto:prefeitura@coqueirobaixo.com.br","alta",""
"Coxilha","verde","semáforo (verde/amarelo/vermelho)","4","rádio,carros de som/alto-falante,site da Prefeitura (on-line),redes sociais do município","A comunidade será avisada por meio de rádio, carros de som, on-line (site da Prefeitura Municipal e redes sociais do município). [ref_id:0]","alta",""
"Cristal","amarelo","semáforo (verde/amarelo/vermelho)","1","alto-falante/carro de som","Na prática do Plano de Contingência, ao identificar os riscos ... deve ser feita a retirada das famílias que estão expostas ao risco, bem como realoca-las em um dos abrigos cadastradas no Plano de Contingência. Ainda no tocante aos alagamentos, ... deve ser feita canalização da sanga ... Com relação ás tempestades, vendavais e fortes quedas de granizo, o Município conta atualmente conta com 500m de lona para minimizar os estragos feitos pelo mau tempo. Também deverá ser feita a remoção destas famílias expostas ao risco e realocadas nos abrigos cadastrados neste Plano com a finalidade de promover a segurança e bem-estar destas pessoas.","media",""
"Cruz Alta","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Elaborar Boletins Oficiais e enviar ao Departamento de Comunicação Social; Contatar os órgãos municipais e afins, informando-os da situação e alertando-os sobre uma possível mobilização.","alta",""
"Cruzeiro do Sul","verde","semáforo (verde/amarelo/vermelho)","5","SMS/mensagem em massa,Sirenes,Rádio local,Carro de som/alto-falante,Grupos de WhatsApp / redes sociais","A comunicação de risco precisa considerar pessoas sem acesso à internet ou celular, falta de energia e sinal de rede. Por isso, devem ser usados múltiplos meios de alerta — SMS, sirenes, rádio local, carro de som, comunicação comunitária, assim como considerar grupos vulneráveis""; ""A divulgação dos alertas será em conjunto PREFEITO e COORDENADOR ... divulgadas atravez de rede social oficial , grupo de whattshaps, radios e tambem carros de som""","alta",""
"David Canabarro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Os documentos recuperados (PLANCON e anexos de David Canabarro) descrevem critérios de ativação do plano, ações a serem desenvolvidas e listas de contatos/telefones/e‑mails e equipamentos disponíveis, mas não mencionam meios de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Dilermando de Aguiar","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Difundir, através dos mecanismos de comunicação os Boletins Oficiais.[ref_id:3]","media",""
"Dois Irmãos","verde","semáforo (verde/amarelo/vermelho)","5","redes sociais da prefeitura,rádio local,grupos comunitários (WhatsApp de difusão),carros de som/megafones,mensagens emergenciais (SMS/mensagem em massa)","Seção 9 — ALerta: meios de divulgação (redes sociais da prefeitura, rádio local, grupos comunitários, site oficial). Seção 10 — ALARME: activation methods (carros de som, megafones, equipes da Defesa Civil, mensagens emergenciais).","alta",""
"Dois Lajeados","amarelo","semáforo (verde/amarelo/vermelho)","1","rádios comunicadores (como meio de difusão)","Durante o período de atuação, o Gabinete de Crise deverá manter comunicação permanente com as Secretarias Municipais, Departamentos Técnicos e demais órgãos de apoio, por meio de canais oficiais, priorizando o uso de rádios comunicadores, telefones institucionais e sistemas de mensagens autenticadas.","media",""
"Dom Feliciano","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Nenhuma seção ou trecho do documento recuperado descreve canais de emissão de alerta à população (sirene, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais ou WhatsApp de difusão).","alta",""
"Dona Francisca","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio, redes sociais ou WhatsApp de difusão como meios de emissão de alerta à população no documento recuperado.","alta",""
"Doutor Ricardo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Informar a população sobre o desastre.","alta",""
"Eldorado do Sul","amarelo","semáforo (verde/amarelo/vermelho)","3","WhatsApp (mensagens para população cadastrada e grupos de difusão),Mídias sociais,Canal 199 (chamados pelos munícipes) — usado para comunicados/monitoramento","“O alerta é realizado por meio de mensagens para população cadastrada no WhatsApp quando o monitoramento acusar altos índices pluviométricos.” [ref_id:0] ""Alertar a população via WhatsApp e mídias sociais sobre previsão de altos volumes pluviométricos; acionar os responsáveis envolvidos no plano de contingência"" [ref_id:4] ""monitoramento dos índices pluviométricos do CEMADEN, previsões pluviométricas ... e chamados pelo canal 199."" [ref_id:4]","alta",""
"Encantado","verde","semáforo (verde/amarelo/vermelho)","6","sirenes,SMS/mensagem em massa,redes sociais,rádio,aplicativo (sistema/app de alerta),carro de som/alto-falante/megafone","A população deve estar atenta aos canais oficiais da Defesa Civil Municipal e Estadual — como sirenes, SMS, redes sociais e rádio — e seguir as orientações divulgadas.[ref_id:0] / Alarme: ... Pode incluir sirenes, apitos, carros de som ou mensagens por celular.[ref_id:1] / Alerta: ... Pode ser transmitido por sistema, aplicativo, redes sociais, e-mail, telefone ou mensagem.[ref_id:2] / A1 – Publicação de informes ... nas redes sociais da Prefeitura e veiculação em rádios locais;[ref_id:3] / Anexo I checklist: Equipamento de som (megafone/sirene).[ref_id:4]","alta",""
"Encruzilhada do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"Erebango","verde","semáforo (verde/amarelo/vermelho)","4","Rádio,Carro de som/alto-falante,Site (portal do município),Redes sociais do município","Rádio, Jornais locais, carro de som, site e redes sociais do município.","alta",""
"Erechim","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Ernestina","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio,on-line (site da Prefeitura e jornais de circulação na região)","A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal e jornais de circulação na região).","alta",""
"Espumoso","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Section 5 (Que ações devem ser desenvolvidas): duas ações listadas: ""Desassoreamento do Arroio Tigreiro"" e ""Elevação de cotas de implantação de obras de arte"".","media",""
"Estação","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O Plano de Contingência descreve procedimentos, contatos e responsáveis (telefones e e‑mails) e quem aciona o plano, mas não menciona meios de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais.","alta",""
"Esteio","verde","semáforo (verde/amarelo/vermelho)","4","telefone para lideranças comunitárias/órgãos (alerta atualizado por telefone) - USADO COMO ALERTA À COMUNIDADE,site institucional (publicação no site do município),rádios locais (divulgação nas rádios locais),redes sociais (utilizar redes sociais para divulgação)","“o alerta será complementado pela Diretoria de Comunicação através de publicação no site do município e divulgação nas rádios locais.” / “Estabelecer canais de informação com o público, utilizar site institucional, redes sociais, e-mails, entre outros, proporcionando uma divulgação ampliada sobre o desastre.” / “esta notificação será repassada ao Prefeito ... por meio de telefone.”","media",""
"Estrela Velha","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos do PLANCON municipal de Estrela Velha apresentam listas de contatos, telefones, e-mails, recursos (veículos, máquinas), áreas de risco, abrigos e ações (ex.: ""Que ações devem ser desenvolvidas"", ""Lista de abrigos"", ""Endereço para contato""), sem menção a canais de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Estrela","amarelo","semáforo (verde/amarelo/vermelho)","3","rádios (rádios locais),carro de som/alto-falante","as comunidades em áreas de risco serão avisadas da situação de alerta ou alarme por meio dos órgãos de comunicação (rádios) do município de Estrela e Lajeado, RS, e pelos COMPDEC e NUPDEC com carro de som passando pelas áreas de risco, avisando da situação e os procedimentos que deverão tomar.","alta",""
"Estância Velha","verde","semáforo (verde/amarelo/vermelho)","4","Núcleos Comunitários de Defesa Civil (Nudecs),Rede de Radioamadores,vinculação dos alertas nas redes de comunicação de massa pelo Departamento de Comunicação Social,agentes comunitários de Saúde e de Endemia (difusão/alerta comunitário)","A população será alertada através dos Núcleos Comunitários de Defesa Civil (Nudecs), da Rede de Radioamadores, dos agentes comunitários de Saúde e de Endemia, além da vinculação dos alertas nas redes de comunicação de massa existentes no município pelo Departamento de Comunicação Social.","media",""
"Faxinal do Soturno","verde","semáforo (verde/amarelo/vermelho)","4","Rádio (Rádio São Roque e La Sorella),Assessoria de imprensa / imprensa local,Campanhas educativas / divulgação (impressa/assessoria),Combate a desinformação via canais de comunicação (rádio/assessoria)","As rádios São Roque e La Sorella são canais essenciais para informar a população de maneira rápida e eficaz""; ""A Defesa Civil deve acionar a imprensa local, incluindo as rádios São Roque e La Sorella, sempre que for necessário comunicar à população""; ""A assessoria de imprensa do município... Alertas Preventivos... Emergências e Desastres Naturais...""","media",""
"Fazenda Vilanova","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais como meios de alerta à população no documento apresentado.","alta",""
"Feliz","verde","semáforo (verde/amarelo/vermelho)","4","carro de som/alto-falante,agentes da Defesa Civil visitando pessoalmente (comunicação direta ao público),redes sociais do município,mídia (notificações via e-mail para veículos/instituições)","""os alertas serão feitos por carro de som ou por agentes da Defesa Civil visitando as pessoas afetadas; notificações à mídia via e‑mail ou visitas presenciais às instituições e via as redes sociais do município.""","alta",""
"Floriano Peixoto","verde","semáforo (verde/amarelo/vermelho)","4","Internet,Carro de som,Rádio,Sino da Igreja","AVISOS \n\nInternet, Carro de som, Radio, Sino da Igreja,","alta",""
"Fontoura Xavier","verde","semáforo (verde/amarelo/vermelho)","4","internet (site),redes sociais,rádio local,carro de som/alto-falante","""O serviço de alerta da Defesa Civil via internet, rádio local, telefone, carro de som, permite o acesso rápido as informações"" [ref_id:0] ; ""A Prefeitura Municipal de Fontoura Xavier por meio do site https://fontouraxavier.rs.gov.br/ e redes sociais deverá fornecer informações atualizadas aos cidadãos"" [ref_id:2]","alta",""
"Formigueiro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Nenhuma das páginas recuperadas descreve canais de emissão de alerta à população (sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio, redes sociais). As páginas trazem objetivos do plano, quem aciona, áreas de risco e quadro de contatos/secretarias, mas não mencionam meios de difusão pública de alertas.","alta",""
"Forquetinha","amarelo","semáforo (verde/amarelo/vermelho)","3","Redes sociais/site da Prefeitura (difusão de campanhas e boletins),Sirene de alerta,Internet (servidor central / gerador de internet via satélite) - possibilita difusão online","“divulgar, por meio das redes sociais e site da Prefeitura Municipal, campanhas de orientação ... além de difundir, através dos organismos de comunicação, os Boletins Oficiais”; “Sirene de Alerta”; “Internet via Satelite- Servidor Internet Central”","media",""
"Fortaleza dos Valos","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Gaurama","amarelo","semáforo (verde/amarelo/vermelho)","3","rádios locais,site institucional da Prefeitura Municipal de Gaurama,jornais de circulação regional","A população será informada através dos meios oficiais de comunicação, como rádios locais, site institucional da Prefeitura Municipal de Gaurama e jornais de circulação regional.","alta",""
