"municipio","P1 (semáforo (verde/vermelho))","P2 (semáforo (verde/amarelo/vermelho))","P3 (semáforo (verde/vermelho))","P4 (semáforo (verde/vermelho))","P5 (semáforo (verde/amarelo/vermelho))","P6 (semáforo (verde/amarelo/vermelho))","P7 (semáforo (verde/amarelo/vermelho))"
"Lagoa dos Três Cantos","vermelho","verde","vermelho","vermelho","verde","amarelo","vermelho"
"Lagoão","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Lajeado","vermelho","verde","vermelho","verde","verde","verde","amarelo"
"Lindolfo Collor","vermelho","amarelo","vermelho","vermelho","vermelho","amarelo","vermelho"
"Linha Nova","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Machadinho","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Maratá","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Marau","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Marcelino Ramos","vermelho","verde","verde","verde","verde","verde","amarelo"
"Mariana Pimentel","vermelho","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Marques de Souza","verde","verde","vermelho","verde","amarelo","verde","verde"
"Mata","vermelho","verde","vermelho","vermelho","amarelo","amarelo","amarelo"
"Mato Castelhano","vermelho","verde","vermelho","vermelho","verde","verde","verde"
"Mato Leitão","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Maximiliano de Almeida","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Minas do Leão","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Montenegro","vermelho","verde","vermelho","vermelho","amarelo","amarelo","verde"
"Mormaço","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho"
"Morro Redondo","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Morro Reuter","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Muliterno","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Nicolau Vergueiro","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Nova Alvorada","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Nova Bréscia","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Nova Esperança do Sul","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Nova Hartz","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Nova Palma","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Nova Santa Rita","vermelho","amarelo","vermelho","vermelho","amarelo","amarelo","verde"
"Novo Cabrais","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Novo Hamburgo","verde","verde","vermelho","vermelho","verde","verde","verde"
"Não-Me-Toque","vermelho","verde","vermelho","vermelho","amarelo","amarelo","amarelo"
"Paim Filho","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Pantano Grande","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Paraíso do Sul","vermelho","verde","vermelho","vermelho","vermelho","vermelho","amarelo"
"Pareci Novo","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Parobé","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Passa Sete","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Passo Fundo","vermelho","verde","vermelho","vermelho","amarelo","amarelo","amarelo"
"Passo do Sobrado","vermelho","verde","vermelho","vermelho","vermelho","vermelho","amarelo"
"Paverama","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Pedras Altas","verde","verde","vermelho","vermelho","verde","verde","verde"
"Pedro Osório","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Pelotas","vermelho","amarelo","vermelho","vermelho","amarelo","amarelo","vermelho"
"Pinhal Grande","vermelho","verde","vermelho","vermelho","vermelho","verde","verde"
"Pinheiro Machado","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Piratini","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Porto Alegre","verde","amarelo","vermelho","vermelho","verde","verde","verde"
"Portão","vermelho","verde","vermelho","verde","verde","verde","vermelho"
"Pouso Novo","verde","verde","vermelho","vermelho","verde","verde","verde"
"Poço das Antas","vermelho","verde","vermelho","verde","amarelo","verde","vermelho"
"Presidente Lucena","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Progresso","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Putinga","vermelho","amarelo","vermelho","vermelho","vermelho","vermelho","vermelho"
"Quevedos","vermelho","amarelo","vermelho","vermelho","verde","verde","amarelo"
"Quinze de Novembro","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Relvado","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Restinga Sêca","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Rio Grande","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Rio Pardo","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Riozinho","verde","verde","vermelho","verde","verde","amarelo","amarelo"
"Roca Sales","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Rolante","vermelho","verde","vermelho","vermelho","verde","amarelo","vermelho"
"Saldanha Marinho","vermelho","verde","vermelho","vermelho","vermelho","vermelho","vermelho"
"Salto do Jacuí","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Salvador do Sul","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Sananduva","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Santa Bárbara do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Santa Cecília do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Santa Clara do Sul","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Santa Cruz do Sul","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Santa Maria do Herval","vermelho","verde","vermelho","vermelho","amarelo","amarelo","vermelho"
"Santa Maria","vermelho","amarelo","vermelho","vermelho","verde","amarelo","amarelo"
"Santa Vitória do Palmar","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Santana da Boa Vista","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Santiago","vermelho","amarelo","vermelho","vermelho","verde","amarelo","amarelo"
"Santo Antônio da Patrulha","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Santo Antônio do Palma","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Santo Antônio do Planalto","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Santo Expedito do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Sapiranga","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Sapucaia do Sul","verde","verde","vermelho","vermelho","verde","verde","verde"
"Segredo","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Selbach","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Sentinela do Sul","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Sertão Santana","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Sertão","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Severiano de Almeida","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Silveira Martins","vermelho","amarelo","vermelho","vermelho","vermelho","amarelo","vermelho"
"Sobradinho","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Soledade","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"São Domingos do Sul","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"São Francisco de Assis","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"São Jerônimo","vermelho","verde","vermelho","verde","amarelo","amarelo","vermelho"
"São José do Herval","vermelho","verde","vermelho","vermelho","vermelho","verde","verde"
"São José do Hortêncio","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"São José do Norte","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"São José do Ouro","vermelho","verde","vermelho","vermelho","amarelo","amarelo","amarelo"
"São José do Sul","vermelho","verde","vermelho","vermelho","vermelho","vermelho","amarelo"
"São João da Urtiga","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"São João do Polêsine","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"São Leopoldo","verde","verde","vermelho","verde","amarelo","verde","vermelho"
"São Lourenço do Sul","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho"
"São Martinho da Serra","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"São Pedro da Serra","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"São Pedro do Sul","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"São Sebastião do Caí","vermelho","verde","vermelho","verde","verde","verde","vermelho"
"São Sepé","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"São Vendelino","vermelho","verde","vermelho","vermelho","amarelo","vermelho","amarelo"
"São Vicente do Sul","vermelho","verde","vermelho","vermelho","amarelo","amarelo","amarelo"
"Sério","verde","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Tabaí","vermelho","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Tapejara","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Tapera","vermelho","verde","vermelho","verde","verde","verde","amarelo"
"Tapes","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Taquara","verde","verde","vermelho","vermelho","amarelo","vermelho","amarelo"
"Taquari","vermelho","verde","vermelho","vermelho","verde","verde","verde"
"Tavares","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Teutônia","vermelho","amarelo","vermelho","vermelho","amarelo","verde","vermelho"
"Tio Hugo","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Toropi","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Travesseiro","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Triunfo","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Três Arroios","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Três Coroas","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Tunas","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Tupanci do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Tupanciretã","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Tupandi","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Turuçu","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Unistalda","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Vale Real","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Vale Verde","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Vanini","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Venâncio Aires","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Vera Cruz","vermelho","amarelo","vermelho","vermelho","vermelho","amarelo","verde"
"Vespasiano Corrêa","vermelho","verde","vermelho","vermelho","amarelo","vermelho","vermelho"
"Viadutos","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho"
"Viamão","vermelho","amarelo","vermelho","vermelho","verde","verde","vermelho"
"Victor Graeff","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Vila Lângaro","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Vila Maria","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Vila Nova do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Westfália","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Água Santa","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Áurea","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
