"municipio","valor","unidade","n_nupdecs","nupdec_futuro","grupos_comunitarios","evidencia","confianca","erro"
"Campos Borges","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntário de Defesa Civil Gilberto Pereira da Costa. 54-999171855; Voluntário de Defesa Civil André Leandro Ribeiro 549.9611 2578","alta",""
"Candelária","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","As equipes de resgate compostas pelo Corpo de Bombeiros Militar(6ºBBM) e Associação de Bombeiros Voluntários de Candelária, Equipes de Saúde e Voluntários, realizarão a busca e salvamento das pessoas atingidas","alta",""
"Canguçu","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes no documento; o texto descreve estrutura da Defesa Civil Municipal, abrigos e ações, sem listar Núcleos Comunitários formalizados.","alta",""
"Canoas","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“Abrigos voluntários em caso de crise de nível 2 (voluntários) ... Durante uma climatic crise a Secretaria anunciará via canais oficiais quais locais estão disponíveis” [ref_id:31] e lista de contatos incluindo NUPDEC como contato em lista telefones úteis, sem indicar NUPDECs formalizados listados no plano [ref_id:0]","alta",""
"Canudos do Vale","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","A evacuação poderá ser auxiliada por: líderes comunitários, NUPDECs, agentes comunitários de Saúde, além de voluntários. (indica menção a NUPDECs em contexto de auxílio, não lista NUPDECs formalizados) [ref_id:7]","alta",""
"Capela de Santana","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento do Plano de Contingência de Capela de Santana; o texto lista órgãos ativados, riscos, materiais (ex.: ""Lona — 100m — Depositada na Secretaria Municipal de Educação"") e procedimentos gerais, sem citar núcleos comunitários formalizados.","alta",""
"Capitão","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC já existentes ou formalizados no PLACON; anexo lista Abrigos Temporários e Organograma do SCI, e texto refere-se à COMPDEC e voluntários/treinamentos (ex.: ""treinamento da equipe da COMPDEC e voluntários"") mas não cita NUPDEC formalizados.","alta",""
"Capão Bonito do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Documento lista ""Voluntários de Defesa Civil: 1"" e não apresenta menção a NUPDEC/NUDEC existentes ou formalizados; há também campos sobre ""Coordenadoria Municipal de Defesa Civil"" e acionadores do plano, sem enumeração de NUPDECs.","alta",""
"Capão do Cipó","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Acionar Equipe da COMPDEC — Giuliano de Andrade Estivalet — Defesa Civil (55) 98408-6287","alta",""
"Capão do Leão","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 27 Gilmar lacerda - Adjuvante (53)991014097","alta",""
"Carazinho","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","O plano cita ""Voluntários cadastrados"" e lista ""Lista de abrigos temporários""; não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados nem texto listando núcleos comunitários formalizados no documento recuperado.","alta",""
"Carlos Gomes","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC/NUDEC existentes ou formalizados no documento do Plano de Contingência de Carlos Gomes/RS recuperado; o texto lista estruturas municipais, contatos da COMPDEC, abrigos e recursos, mas não cita núcleos comunitários formalizados.","alta",""
"Casca","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","ANEXO II PLANO DE CHAMADA ... 11 LISTA DE VOLUTÁRIOS; (lista de nomes e contatos de voluntários por localidades: Celso Zordan... Linha 14... Santo Antônio... Nsa. dos Navegantes... Linha São José... Nsa. Do Caravagio... Nsa. Consoladora... )","alta",""
"Caseiros","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento recuperado; aparecem apenas cargos municipais, corpos de resposta (Bombeiros, Brigada Militar), estoques, abrigos e ações a serem desenvolvidas.","alta",""
"Centenário","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menciona voluntários e abrigos (voluntários para distribuição de donativos; lista de abrigos comunitários)","5.4 ""...com participação da coordenação municipal de Defesa Civil e de voluntários""; Página 6 ""Lista De Abrigos"" (identificação de abrigo comunitário, responsável e capacidade) [ref_id:4][ref_id:5]","alta",""
"Cerrito","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","Voluntários de Defesa Civil 20 (COMDEC) e lista de abrigos/voluntários mencionados","Voluntários de Defesa Civil 20 COMDEC 53-991650406","alta",""
"Cerro Branco","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","Voluntários de Defesa Civil 05 (mencionados no resumo de recursos), além de listagem de abrigos e responsáveis, sem indicação de NUPDEC formalizado","Resumo dos Recursos: 'Voluntários de Defesa Civil 05' [ref_id:8]; Lista de Abrigos: 'Abrigo I ... GINÁSIO MUNICIPAL BODO ROLANDO WEBER' e responsável com telefone [ref_id:4]; Plano de Contingência — ações menciona 'interação com a comunidade, educação e treinamento' e mobilização, sem listar NUPDECs existentes [ref_id:2][ref_id:1]","alta",""
"Cerro Grande do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","O monitoramento preventivo e evolutivo do evento será realizado pelo Coordenador da Defesa Civil e voluntários cadastrados através dos seguintes meios disponíveis: (a) Acompanhamento...; As Secretarias deverão encaminhar planos de ação contendo o plano de chamada dos servidores e voluntários...","alta",""
"Charqueadas","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","""Em Charqueadas, esses núcleos serão organizados conforme disposição territorial da Secretaria Municipal de Governo e Habitação""; ""7.4.4 - Núcleos Comunitários de Proteção e Defesa Civil. São as organizações comunitárias, de caráter voluntário, que podem ser criadas""; ""As organizações voluntárias constituem-se como órgãos de apoio e são representadas por entidades privadas, associações de voluntários, clubes de serviços, organizações não governamentais, associações de classe e comunitárias.""","alta",""
"Charrua","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","O Plano de Contingência de Proteção e Defesa Civil, do Município de Charrua/RS, tem como objetivo principal, estabelecer os procedimentos a serem adotados pelos órgãos nas respostas a emergências e desastres... (documento recuperado não lista NUPDEC(s) existentes, nem menciona núcleos formalizados)","alta",""
"Chuvisca","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim (Voluntários de Defesa Civil: 10)","Voluntários de Defesa Civil 10 Fábio Da Cunha Goldas 519832-5292","alta",""
"Chuí","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 FABIAN (+598)99294688","alta",""
"Ciríaco","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","nos documentos do Plano de Contingência de Ciriáco/RS não há menção a NUPDEC(s)/NUDEC(s) já existentes nem listados; o conteúdo descreve contatos municipais, riscos, abrigos e ações a serem desenvolvidas, sem citar NUPDECs formalizados","alta",""
"Colinas","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“✓ COMUNICAR as pessoas voluntárias via grupo de aplicativo de mensagem;” [ref_id:1] ""13.12.1 - RECURSOS HUMANOS ✓ 02 Voluntários da COMDEC"" [ref_id:12] ""5- HISTÓRICO DAS CHEIAS ... houve uma mobilização de voluntariado muito grande, sendo que várias pessoas foram resgatadas por barqueiros e pescadores da cidade."" [ref_id:7]","alta",""
"Colorado","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento é o ""PLANO DE CONTINGÊNCIA DE COLORADO/RS"" e lista recursos, abrigos, atribuições do COMDEC e responsáveis, sem menção a NUPDEC(s)/NUDEC(s) existentes nem a criação futura dos mesmos; exemplo de trecho: ""Membros COMDEC"" e lista de abrigos (Abrigo 01, Abrigo 02, Abrigo 03) e responsáveis""","media",""
"Coqueiro Baixo","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil - - - [ref_id:3]; “Recebimento, organização e distribuição de doações com a participação de membros da Coordenadoria Municipal de Defesa Civil e voluntários” [ref_id:4]","alta",""
"Coxilha","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menciona voluntários e órgãos como Corpo de Bombeiros Voluntários e 'Voluntários de Tapejara/RS' sem NUPDEC formal listado","Lista de órgãos e voluntários: 'Corpo de Bombeiros', 'Voluntrírios de Tapej aralRS', 'Corpo de Bombeiros de Passo Fundo' e ações de cadastramento e organização de abrigo (6.5) — não há menção a NUPDEC/NUDEC já formalizado no documento' (trechos: seção de contatos e 6.5 Cadastramento e organização de abrigo...)","alta",""
"Cristal","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O Plano menciona ""capacidades de abrigos cadastrados"", disponibilidade de lonas, cadastro de abrigos (Salão Paroquial..., Ginásio da Escola...), e ações de ""Capacitação de recursos humanos, inclusive de voluntários e de núcleos comunitários de defesa civil;"" mas não lista NUPDEC(s) já existentes e formalizados.","alta",""
"Cruz Alta","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no Plano de Contingência; texto refere-se à Coordenadoria Municipal de Defesa Civil, autoridades, abrigos e mobilização de órgãos, sem listar NUPDECs formalizados.","alta",""
"Cruzeiro do Sul","verde","semáforo (verde/amarelo/vermelho)","1","nao","sim","Abaixo tabela com locais vulneráveis ao risco de inundação, enxurradas e alagamentos, com o nome de responsável por cada NUPDEC. Destaca-se que os responsáveis devem ser atualizados de forma constante , objetivando o bom andamento desta rede de apoio à Defesa Civil.[ref_id:0]","alta",""
"David Canabarro","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento do PLANCON de David Canabarro; o plano lista contatos, ações, cenários de risco, equipamentos e responsabilidades, sem citar núcleos comunitários formalizados.","alta",""
"Dilermando de Aguiar","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento; apenas composição da COORDENADORIA MUNICIPAL DA DEFESA CIVIL e procedimentos/abrigos listados.","alta",""
"Dois Irmãos","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista ""Defesa Civil"" como responsável por coordenar ações, monitorar áreas de risco, emitir alertas/alarme e coordenar evacuações"" e menciona ""divulgação ... grupos comunitários"" como meio de divulgação de alertas; não há menção a NUPDEC(s) ou NUDEC(s) formalizados no texto recuperado.","alta",""
"Dois Lajeados","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes no Plano de Contingência; documento lista Coordenadoria Municipal de Defesa Civil, equipe de gestão, abrigos e recursos, sem citar NUPDEC formalizado.","alta",""
"Dom Feliciano","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento do Plano de Contingência (páginas 1-3) lista objetivos, autoridades, áreas de risco e dados do município; não há menção a NUPDEC/NUDEC nem a grupos voluntários formalizados no texto recuperado.","alta",""
"Dona Francisca","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","4.2 Encaminhar pessoas para familiares e abrigos ... Equipe de Trilheiros; 3. LISTA DE CONTATOS: Vilson Alberto - Equipe de Trilheiros (Trilhassauro) Integrante (55)99724-9994 [não há menção a NUPDEC ou NUDEC formalizado no documento]","alta",""
"Doutor Ricardo","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista ações, responsáveis, abrigos e recursos disponíveis, mas não menciona NUPDEC(s)/NUDEC(s) existentes nem a criação futura de NUPDECs.","alta",""
"Eldorado do Sul","verde","semáforo (verde/amarelo/vermelho)","10","nao","N/A","Reconhecendo sua grande importância na resposta a emergências e na prevenção de desastres, foram estabelecidos dez (10) NUPDECs no município. ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Chácara; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Vila da Paz; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Itaí; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Picada; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Irga; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Bom Retiro; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Sans Souci; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Cidade Verde; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Sol Nascente; ✓ Núcleo Comunitário de Proteção e Defesa Civil – Bairro Parque Eldorado.","alta",""
"Encantado","verde","semáforo (verde/amarelo/vermelho)","1","nao","sim","Anexo Q – Ficha de NUPDECs ... NUPDEC 1 - Área / Bairro / Localidade ... Anexo N – Termo de interesse em adesão ao NÚCLEO COMUNITÁRIO DE PROTEÇÃO E DEFESA CIVIL – NUPDEC","alta",""
"Encruzilhada do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","Menciona voluntários de Defesa Civil (10) e suporte de AMBES – Bombeiros Civis; lista de abrigos e responsáveis, mas não cita NUPDEC(s) formalizados","Voluntários de Defesa Civil 10 ALEX ZANATTA 51984304022 [ref_id:2]; O MUNICÍPIO HOJE CONTA COM O SUPORTE DA AMBES – BOMBEIROS CIVIS, COM 10 PESSOAS NO EFETIVO [ref_id:2]","alta",""
"Erebango","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","Seleção e organização de voluntários; e referências a abrigos e responsáveis (ex.: ""Seleção e organização de voluntários"") e lista de abrigos (Ginásio da Escola...; Centro Multiuso...)","alta",""
"Erechim","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Força Voluntária Alto Uruguai Rua Dr José Bisognin, 182 – São Cristóvão - Erechim (54) 3515-0099","alta",""
"Ernestina","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menciona voluntários e participação da comunidade (voluntários; recepção/distribuição de doações; abrigos administrados por prefeitura e paróquia)","“5.4 - RECEBIMENTO, ORGANIZAÇÃO E DISTRIBUIÇÃO DE DOAÇÕES COM A PARTICIPAÇÃO DA COORDENADORIA MUNICIPAL DA DEFESA CIVIL, ASSISTÊNCIA SOCIAL E VOLUNTÁRIOS;”","alta",""
"Espumoso","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento PLANO DE CONTINGÊNCIA do Município de Espumoso/RS (JULHO/2023) lista áreas de risco, ações e responsáveis (ex.: ""Desassoreamento"", ""Enchurradas"") e contatos do Coordenador Municipal de Defesa Civil, sem mencionar NUPDEC(s)/NUDEC(s) ou grupos de voluntários formalizados.","alta",""
"Estação","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários Defesa Civil 10 Glaucia 54.9.9154-5840","alta",""
"Esteio","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""acompanhamento diário dos voluntários cadastrados para esse fim que residem nos bairros do município.""","alta",""
"Estrela Velha","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Documento lista ""Voluntários de Defesa Civil"" (quantidade 02) e múltiplos recursos/contatos, mas não cita NUPDEC(s) ou NUDEC(s) já constituídos/formalizados.","alta",""
"Estrela","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","“pelos COMPDEC e NUPDEC com carro de som passando pelas áreas de risco, avisando da situação e os procedimentos que deverão tomar.”","alta",""
"Estância Velha","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","A população será alertada através dos Núcleos Comunitários de Defesa Civil (Nudecs), da Rede de Radioamadores, dos agentes comunitários de Saúde e de Endemia, além da vinculação dos alertas nas redes de comunicação de massa existentes no município pelo Departamento de Comunicação Social.","alta",""
"Faxinal do Soturno","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","O documento lista ""Equipes de voluntariado e apoio técnico"" e vários atores comunitários (ex.: ""Trilheiros Tropeiros de Faxinal"", ""Instituto Renascer"", ""Bombeiros Voluntários""), sem mencionar NUPDEC/NUDEC já formalizados.","alta",""
"Fazenda Vilanova","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento não menciona NUPDEC(s)/NUDEC(s) existentes nem a criação futura de NUPDECs; apresenta Lista de Abrigos e recursos municipais (ex.: ""Lista de Abrigos"", ""Resumo dos Recursos"", ""Escola/creches 06"", ""CBMRS de Estrela - 1º Ten Marcos Silveira Corrêa"")","alta",""
"Feliz","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil: 10","alta",""
"Floriano Peixoto","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) existentes, nem a voluntários/grupos comunitários formalizados no documento do Plano de Contingência municipal de Floriano Peixoto fornecido (conteúdo recuperado do plano não cita NUPDEC/NUDEC nem grupos voluntários; citações extraídas das seções gerais do plano).","alta",""
"Fontoura Xavier","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","A Coordenadoria Municipal de Proteção e Defesa Civil de Fontoura Xavier/RS conta atualmente com 02 duas fontes de informações meteorológicas: IMMET, CEMADEM..","media",""
"Formigueiro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento PLANO DE CONTINGÊNCIA — páginas mostram objetivos, áreas de risco e contatos, sem menção a NUPDEC/NUDEC ou a núcleos comunitários formalizados.","alta",""
