"municipio","valor","unidade","abrigos_listados","vagas_abrigos","populacao_area_risco","evidencia","confianca","erro"
"Barra do Ribeiro","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","800","Abrigos — Abrigo 1: Tipo: ESCOLA; Nome: Escola Municipal João Evangelista Pinós; Endereço: Rua Natal s/n Passo Grande","alta",""
"Barracão","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","4831","Tipo: GINÁSIO Nome: Ginásio da Escola Constantino Machado Pereira Endereço: RUA VITÓRIO TREVISAN, 484, OPERÁRIO","alta",""
"Barros Cassal","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","9.130","""designated public shelter locations (Municipal Gymnasium of Barros Cassal as plan “A”, Parish Hall belonging to the Catholic Church of Barros Cassal as plan “B"").""[ref_id:2] ""número de afetados: 9130""[ref_id:5]","alta",""
"Barão de Cotegipe","verde","semáforo (verde/amarelo/vermelho)","sim","200 (refeitório: 100 no Salão Paróquia + capacidade de estacionamento/área disponível equivalente a 100 no Centro Esportivo Cultural implícita pela área disponível de 1000 m² em cada abrigo)","7144 (população total do município) / valores específicos de população em área de risco não informados","ABRIGOS - 2 Nome: Salão Paróquia ... Banheiros: ... (masculinos: 8, femininos: 8) ... Refeitório: sim (100) [ref_id:7] || ABRIGOS - 3 Nome: Centro Esportivo Cultural ... Área disponível para alojamento: 1000 m² ... Banheiros: ... (masculinos: 6, femininos: 6) [ref_id:7] || Dados do Município: população listada como 7.144 [ref_id:0]","media",""
"Barão do Triunfo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","5.972","Abrigos municipais: Ginásio Municipal de Esporte, lat-30°23′38,400″, long -51°44′24,000″ e Sociedade Cultura e Recreativa Cruzeiro, lat -30°23′20,400″, log -51°51′10,800″","alta",""
"Barão","verde","semáforo (verde/amarelo/vermelho)","sim","150 pessoas","6500 habitantes","Centro de Convivência 50 pessoas Sec. Assistência Social Salão, cozinha e banheiros, dormitórios; Ginásio Municipal 100 pessoas Sec. Educação Salão, Vestiários, sanitários, dormitórios; População: aproximadamente 6.500 habitantes","alta",""
"Boa Vista do Cadeado","verde","semáforo (verde/amarelo/vermelho)","sim","1500","2229","Abrigo 01 - Identificação: Ginásio Municipal ... Capacidade: 1.000 pessoas; Abrigo 02 - Identificação: Salão do Parque de exposições ... Capacidade: 500 pessoas; Município resumo: população 2.229; Section 5: 'Áreas de Risco do Município' — tabela mostra o território urbano e rural exposto.","alta",""
"Boa Vista do Incra","verde","semáforo (verde/amarelo/vermelho)","sim","1100","2314","ABRIGO I NOME DO LOCAL: Ginásio Municipal de Esportes ENDEREÇO/LOCALIDADE: Av. Heraclídes de Lima Gomes CAPACIDADE APROXIMADA: 300 pessoas ABRIGO II NOME DO LOCAL: Escola Municipal Brasilina Abreu Terra ENDEREÇO/LOCALIDADE: Olívio Pedrotti, 17 CAPACIDADE APROXIMADA: 150 pessoas ABRIGO III NOME DO LOCAL: Escola de Educação Infantil Pequeno Aprendiz ENDEREÇO/LOCALIDADE: Rua Emancipação CAPACIDADE APROXIMADA: 150 pessoas ABRIGO IV NOME DO LOCAL: Salão Comunitário do Capão Grande ENDEREÇO/LOCALIDADE: Capão Grande CAPACIDADE APROXIMADA: 50 pessoas ABRIGO V NOME DO LOCAL: Salão Comunitário da Corticeira ENDEREÇO/LOCALIDADE: Corticeira CAPACIDADE APROXIMADA: 50 pessoas ABRIGO VI NOME DO LOCAL: Salão Comunitário do Anexo E ENDEREÇO/LOCALIDADE: Anexo E CAPACIDADE APROXIMADA: 50 pessoas ABRIGO VII NOME DO LOCAL: Salão Comunitário do Anexo C ENDEREÇO/LOCALIDADE: Anexo C CAPACIDADE APROXIMADA: 50 pessoas ABRIGO VIII NOME DO LOCAL: Salão Comunitário do Anexo F ENDEREÇO/LOCALIDADE: Anexo F CAPACIDADE APROXIMADA: 50 pessoas ABRIGO IX NOME DO LOCAL: Salão Comunitário da União Gaúcha ENDEREÇO/LOCALIDADE: Comunidade União Gaúcha CAPACIDADE APROXIMADA: 50 pessoas ABRIGO X NOME DO LOCAL: Salão Comunitário do Independente ENDEREÇO/LOCALIDADE: Independente CAPACIDADE APROXIMADA: 50 pessoas ABRIGO XI NOME DO LOCAL: Salão Paroquial ENDEREÇO/LOCALIDADE: Av. Heraclídes de Lima Gomes CAPACIDADE APROXIMADA: 300 pessoas POPULAÇÃO ESTIMADA: 2.314 habitantes (2025)","alta",""
"Bom Princípio","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","2194","Mapa de risco: ""Total de pessoas em risco: 2194""; Plano: contém listas de estruturas (escolas, clubes, unidades de saúde) com nomes e endereços (ex.: ""RELAÇÃO DAS ESTRUTURAS DAS ESCOLAS DO MUNICÍPIO DE BOM PRINCÍPIO"" e tabelas que apresentam Nome / Endereço), indicando abrigos identificáveis no documento","media",""
"Bom Retiro do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Local para abrigo: Escola Irmãs Pivatto, Bairro Laranjeiras.","alta",""
"Brochier","verde","semáforo (verde/amarelo/vermelho)","sim","1100","4.966 pessoas","Abrigo I ... Endereço: Rua João Stefani, 2, centro ... Capacidade: 300 pessoas; Abrigo II ... Endereço: Rua Pedro Kolling, 185, centro ... Capacidade: 500 pessoas; Abrigo III ... Endereço: Rua Onze de Abril, 257, centro ... Capacidade: 300 pessoas; População: 4.966 pessoas – Censo IBGE 2022","alta",""
"Butiá","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","ANEXO I - ABRIGOS 13.1.1. ABRIGO I - GINÁSIO MUNICIPAL GASTÃO HOFF 13.1.2. ABRIGO II - GINÁSIO RUDI RAGUSE","alta",""
"Cacequi","verde","semáforo (verde/amarelo/vermelho)","sim","150","11157","Lista De Abrigos — Abrigo 1: Ginásio Municipal de Esportes ... Capacidade 150 pessoas; Áreas de Risco do Município: Toda área do Município (e listagem de bairros afetados).","alta",""
"Cachoeira do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","750","N/A","Identificação: Pavilhão de Exposições Feira Nacional do Arroz ... Endereço: Conde de Porto Alegre, S/N ... Capacidade: 450 pessoas [ref_id:0][ref_id:5] Identificação: Ginásio Municipal Derli Steinmetz ... Endereço: Rua XV de Novembro esquina com rua Ramiro Barcelos ... Capacidade: 300 [ref_id:0][ref_id:5]","alta",""
"Cachoeirinha","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","""Os ABRIGOS serão localizados em locais onde não há evidências e probabilidade de risco de inundações e enxurradas a serem definidos na ocasião da emergência."" [ref_id:0]","alta",""
"Cacique Doble","verde","semáforo (verde/amarelo/vermelho)","sim","550","4.603","Abrigo I: Ginásio Municipal de Esportes Frei Bruno Fardo, Avenida Guarani; capacidade 200. Abrigo II: CTG Rincão dos Coroados, Rua Getúlio Guimarães; capacidade 150. Abrigo III: Esporte Clube Internacional, Avenida Kaingang; capacidade 200.","alta",""
"Camaquã","verde","semáforo (verde/amarelo/vermelho)","sim","1300","63959","Lista De Abrigos ... Abrigo I Identificação: GINÁSIO MUNICIPAL DE ESPORTE WADISLAU NIEMXESKI ... Capacidade: 1000 pessoas[ref_id:0] Abrigo II Identificação: SECRETARIA ESPECIAL DA MULHER,TRABALHO E DESENVOLVIMENTO SOCIAL ... Capacidade: 100 pessoas[ref_id:0] Abrigo III Identificação: IGREJA MATRIZ SÃO JOÃO BATISTA ... Capacidade: 200 pessoas[ref_id:0] População: 63,959 pessoas ( dados IBGE 2024)[ref_id:2]","alta",""
"Camargo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","INFRAESTRUTURA DISPONÍVEL: ... duas unidades de abrigos (Ginásio Sílvio Bernardon e Ginásio Parque de Rodeios)","alta",""
"Campo Bom","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","62.886","""Manter locais pré-estabelecidos para serem utilizados como abrigos, promovendo boa infraestrutura de tais locais""; ""A população do Município é 62.886 de habitantes (IBGE / 2023)""","alta",""
"Campos Borges","verde","semáforo (verde/amarelo/vermelho)","sim","3000","3613","Lista De Abrigos ... Abrigo I Identificação: Ginásio Pole Esportivo Nascente do Progresso ... Capacidade: 2.500 pessoas ... Abrigo II ... Capacidade: 250 pessoas ... Abrigo III ... Capacidade: 250 pessoas; População: 3.613","alta",""
"Candelária","verde","semáforo (verde/amarelo/vermelho)","sim","100","N/A","Tipo: GINÁSIO DE ESPORTES Nome: Dr Gomes Responsável: Alexandra Ribeiro Bini Endereço: Av Getulio Vargas, 1900 Capacidade: 100 pessoas","alta",""
"Canguçu","verde","semáforo (verde/amarelo/vermelho)","sim","100 (capacidade do refeitório) — não há soma explícita de vagas para alojamento","N/A","• Nome: Ginásio Municipal Conrado Ernani Bento • Endereço: Rua Teofilo de Souza Matos S/n, bairro Vila Isabel, Canguçu-RS, CEP 96600-000 • Refeitório: Sim (capacidade 100) • Área disponível para alojamento (m²): 3200","media",""
"Canoas","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Abrigo principal (primary shelter): Ginásio do Parque Eduardo Gomes. Abrigo secundário no caso de crise nível 1 (secondary shelter for crisis level 1): Centro Olímpico. Abrigos voluntários em caso de crise de nível 2 (voluntary shelters for crisis level 2): Centro Olímpico and additional volunteer locations opened as needed.","alta",""
"Canudos do Vale","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","1 Ginásio Poliesportivo - Rua José Paulo Kober; 2 Salão Comunitário - Rua João José Briesch; 3 Escola Municipal Baixo Canudos - Estrada geral ERS 424; Ginásios para abrigo pessoas sede 01 Domingos Chieza; Salão para abrigo pessoas na sede 01 Eusébio Brauvers; Escola para abrigo pessoas interior 01 Ana P. Dalmoro","alta",""
"Capela de Santana","verde","semáforo (verde/amarelo/vermelho)","sim","30","N/A","Identificação: Centro de Referência em Assistência Social – CRAS; Endereço: Avenida Coronel Orestes Lucas, nº 2720; Capacidade: 30 pessoas","alta",""
"Capitão","verde","semáforo (verde/amarelo/vermelho)","sim","775","N/A","Abrigo I: Ginásio Municipal • Endereço: Rua Balduino Blatt, 556, Capitão/RS • Capacidade: 200 pessoas[Abrigo II: Parque Municipal de Eventos • Endereço: Rua Nelson Cadore, Capitão/RS • Capacidade: 200 pessoas][Abrigo IV: Escola Alto Palmas • Endereço: Linha Alto Palmas, Capitão/RS • Capacidade: 15 pessoas][Abrigo V: Salão Comunitário Linha São Domingos - interior • Capacidade: 140 pessoas][Abrigo VI: Salão Comunitário Linha São Luiz - interior • Capacidade: 160 pessoas]","alta",""
"Capão Bonito do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1000","1724","Abrigo I ... Capacidade: 600 pessoas; Abrigo II ... Capacidade: 200 pessoas; Abrigo III ... Capacidade: 200 pessoas; Header block ... lista população (1,724)","alta",""
"Capão do Cipó","verde","semáforo (verde/amarelo/vermelho)","sim","1500","N/A","Identificação: Ginásio Escola Municipal Júlio Biasi; Endereço: Rua Rufino Garcia dos Santos s/n; Responsável: Maria Luiza Turchetti; Capacidade: 1.500 pessoas","alta",""
"Capão do Leão","verde","semáforo (verde/amarelo/vermelho)","sim","600","26487","Abrigo I Identificação: Ginásio Municipal de Esportes – Prefeito Manoel Nei da Costa Neves ... Capacidade: 300 pessoas[Abrigo II Identificação: EMEF Prefeito Elberto Madruga ... Capacidade: 250 pessoas][Abrigo III Identificação: Santa Tecla Futebol Clube ... Capacidade: 50 pessoas][Município Nome: Capão do Leão População: 26.487 hab.]","alta",""
"Carazinho","verde","semáforo (verde/amarelo/vermelho)","sim","1400","63638","Ponta de Abrigo I Ginásio da Acapesu Endereço: Boa Vista, Carazinho - RS, 99500-000 ... Com capacidade de 800 pessoas; Ponta de Abrigo II Escola Municipal Ensino Fundamental Patronato Santo Antônio Endereço: Boa Vista, Carazinho - RS, 37927-000 ... Com capacidade de 600 pessoas; Carazinho, localizado no estado do Rio Grande do Sul, possui uma população estimada de 63.638 habitantes, conforme dados do IBGE para o ano de 2024.","alta",""
"Carlos Gomes","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1.368","Tipo: CENTRO ESPORTIVO MUNICIPAL Nome: Ginásio Municipal Endereço: Av. Padre Estevão Vonsoski, 383, Centro, Carlos Gomes – RS 99825-000 Área disponível para alojamento em m²: 627 População: 1.368 habitantes","alta",""
"Casca","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Salão Paroquial São Luiz Gonzaga Rua XV de Novembro nº 409, Centro Capacidade: 400 pessoas; Ginásio Municipal de Esporte Tranquilo Pinzeta Rua Pinheiro Machado nº28 Capacidade: 200 pessoas","alta",""
"Caseiros","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","3064","Abrigo 1 Tipo: Ginásio Nome: Centro Esportivo Municipal Endereço: Avenida Mário Cirino Rodrigues, 355 [ref_id:0][ref_id:2]; Abrigo 2 Tipo: Escola Nome: João Rodrigues de Souza Endereço: Rua José Francisco Mendes, 312 [ref_id:2]; Abrigo 3 Tipo: Escola Nome: Creche crescendo com você Endereço: Rua Antonio Vitor Lobo, 44 [ref_id:2]; Número de afetados: 3064 [ref_id:3]","alta",""
"Centenário","verde","semáforo (verde/amarelo/vermelho)","sim","1400","2967","Lista De Abrigos / Abrigo I ... capacidade (1,400 people) [ref_id:1]; Population: 2.967 (IBGE estimate 2022) [ref_id:5]","alta",""
"Cerrito","verde","semáforo (verde/amarelo/vermelho)","sim","650","6402","Lista De Abrigos ... Abrigo I Identificação: GINASIO DE ESPORTES MUNICIPAL ... Capacidade: 300 pessoas ... Abrigo II Identificação: ESCOLA ESTADUAL JOSE BERNABE DE SOUZA ... Capacidade: 200 pessoas ... Abrigo III ... Capacidade: 50 pessoas ... Abrigo IV ... Capacidade: 100 pessoas; MUNICÍPIO CERRITO-RS Nome: CERRITO-RS População: 6402","alta",""
"Cerro Branco","verde","semáforo (verde/amarelo/vermelho)","sim","1000","N/A","Identificação: GINÁSIO MUNICIPAL BODO ROLANDO WEBER — Endereço: RUA OSCAR LAMB - CENTRO — Capacidade: 1.000 pessoas","alta",""
"Cerro Grande do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","9.178","Clube Cruzeiro do sul, Rua Afonso Curtinaz Pacheco Filho; Pavilhão Igreja São José (Sede) Av. Arthur Emilio Jenisch; Pavilhão Igreja Luterana Rua Afonso Curtinaz Pacheco Filho; Escola Municipal Fortaleza (abrigo) Rua Dr. Jorge Alfredo Hennig; Escola Municipal José de Alencar (abrigo) Localidade de Cinco Estufas; Escola Municipal Santa Inês (abrigo) Localidade Campo dos Teixeiras; Escola Municipal Padre Réus (abrigo) Localidade Picada da Cruz. População estimada de 9.178 habitantes (conforme IBGE 2022).","alta",""
"Charqueadas","verde","semáforo (verde/amarelo/vermelho)","sim","1184","N/A","No município, temos a capacidade para agir com 19 abrigos, que já suportaram um total de 1.184 pessoas. Sindicato Dos Metalúrgicos: Av. Dr. José Athanásio, 750, Centro - Total De Abrigados: 153; Pej: Av. Do Jasmim - Santo Antônio - Total De Abrigados: 75; Igreja Assembleia de Deus: Av. Das Flores - Total De Abrigados: 15; Parque Municipal De Eventos Campo Rodeio: RS401 - Total De Abrigados: 240; Associação Banrisul: Rua Castro Alves, S/Nº, Orvisa - Total De Abrigados: 38; MDB: Orvalino Dorneles - Total De Abrigados: 20; Assembleia De Deus: Av. Dr. José Athanásio - Total De Abrigados: 02; Associação Parque Laranjeiras: Av. Amoras, 50 - Total De Abrigados: 15; Ginásio São Miguel: Total De Abrigados: 05; Aduic: Av. Cruz De Malta, 318, Vila Rosa - Total De Abrigados: 15; CTG Raízes Da Tradição: Rua Júlio Rosa, 360 - Total De Abrigados: 09; Maria De Lourdes: Rua Alvidia Da Silva Costa, 120, Sul América - Total De Abrigados: 07","alta",""
"Charrua","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","2.807","Nome: GINÁSIO POLIESPORTIVO; Endereço: RUA PASTOR ELBERT N°45; Área disponível para alojamento(m²): 540; Nº de afetados: 2.807","alta",""
"Chuvisca","verde","semáforo (verde/amarelo/vermelho)","sim","800","N/A","LISTA DOS ABRIGOS Abrigo I Identificação: Centro de Eventos Endereço: av 28 de dezembro, s/n Centro Capacidade: 400 pessoas Abrigo II Identificação: EMEF Santa Luzia Endereço: Picada Grande, RS KM 30 Capacidade: 200 pessoas Abrigo III Identificação: EMEF Arlindo Bonifácio Pires Endereço: Costa do Sutil, S/N Interior Capacidade: 200 pessoas","alta",""
"Chuí","verde","semáforo (verde/amarelo/vermelho)","sim","30","6.262","Identificação: CENTRO COMUNITARIO Endereço: AIRTON SENA N° 300 ... Capacidade: 30 pessoas [ref_id:0][ref_id:3]; Nome: CHUÍ População:6.262 [ref_id:1]","alta",""
"Ciríaco","verde","semáforo (verde/amarelo/vermelho)","sim","1.000","4.419","Abrigo - 01 Tipo: GINASIO Nome: Ginásio Municipal de Esportes Alberi Fagundes de Oliveira Endereço. Rua 28 de dezembro , n"":620 Área disponível para alojamento(m2): 992,16 Capacidade : 1.000 pessoas Município: Ciríaco/RS População: 4.419 habitantes (Dados do IBGE 2022)","alta",""
"Colinas","verde","semáforo (verde/amarelo/vermelho)","sim","90","N/A","LOCAIS DOS ABRIGOS: . EMEF IPIRANGA (GINÁSIO) Rua Fernando Ferrari, 056 Centro – Colinas RS Capacidade: 60 pessoas; GARAGEM DA SECRETARIA DE OBRAS Rua Olavo Bilac, 370 Capacidade: Somente materiais (móveis) SALÃO COMUNITÁRIO CATÓLICO Rua Eugenio Schneider Capacidade: 30 pessoas","alta",""
"Colorado","verde","semáforo (verde/amarelo/vermelho)","sim","5247","3550","Abrigo 01 Identificação: Ginásio Municipal de Esportes Centro Social e Esportivo Endereço: Avenida Boa Esperança, n. 692 - Centro Capacidade: 4.222 pessoas; Abrigo 02 Identificação: Ginásio de Esportes e EMEF Espírito Santo Endereço: Avenida Santo Martins Pinto, s/nº, distrito Vista Alegre Capacidade: 650 pessoas; Abrigo 03 Identificação: Ginásio de Esportes e EMEF Princesa Isabel Endereço: Rua do Estudante, n. 68, Vila Padre Osmari Capacidade: 325 pessoas; Município População: 3.550","alta",""
"Coqueiro Baixo","verde","semáforo (verde/amarelo/vermelho)","sim","1000","N/A","Identificação: Ginásio Municipal de Esportes Endereço: Rua Eduardo Zambiasi ... Capacidade: 1.000 pessoas","alta",""
"Coxilha","verde","semáforo (verde/amarelo/vermelho)","sim","700","2667","Identificação: Ginásio Poliesportivo Municipal Olivério Garcia Trindade ... Capacidade: 300 pessoas [ref_id:1] Identificação: Salão Paroquial São João Batista ... Capacidade: 300 pessoas [ref_id:1] Identificação: Sindicato dos Servidores Municipais de Coxilha ... Capacidade: 50 pessoas [ref_id:1] População: 2.667 - Censo IBGE 2022 [ref_id:7]","alta",""
"Cristal","verde","semáforo (verde/amarelo/vermelho)","sim","700","7299","Cristal conta com os abrigos, Salão Paroquial da Igreja Católica, localizado na rua Dom Feliciano, n° 321, com capacidade de 300 pessoas... O Ginásio da Escola Municipal de Ensino Fundamental Otto Becker... possui em sua estrutura uma capacidade para 200 pessoas... CTG General Bento Gonçalves da Silva, rua Camaquã, nº 1046, com capacidade de 200 pessoas","alta",""
"Cruz Alta","verde","semáforo (verde/amarelo/vermelho)","sim","3520","N/A","Identificação: Ginásio Municipal Endereço: Rua General Osório 963 ... Capacidade: 2500 pessoas Identificação: Ginásio Clube Cruzaltense Endereço: Av Venancio Aires 1809 ... Capacidade: 1000 pessoas Identificação: Casa de Passagem Endereço: Rua Padre Theodoro 202 Bairro de Fátima ... Capacidade: 20 pessoas","alta",""
"Cruzeiro do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","40 famílias + 45 famílias + 15 famílias + 40 famílias + 35 famílias + 15 famílias + N/A","11,600 habitantes","Abrigos (Prioridade de abertura: 1 Acomodam 40 famílias)[ref_id:2] Abrigos (Prioridade de abertura: 2 Acomodam 45 famílias)[ref_id:2] Abrigos (Prioridade de abertura: 3 Acomodam 15 famílias)[ref_id:2] Abrigos (prioridade de abertura 4 Acomodam 40 famílias)[ref_id:2] 5 - Ginásio Sítio ... Acomodam 35 famílias[ref_id:0] 6 - Salão Linha Maravalha ... Acomodam 15 famílias[ref_id:0] População: 11,600 habitantes[ref_id:5]","alta",""
"David Canabarro","vermelho","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","N/A","alta",""
"Dilermando de Aguiar","verde","semáforo (verde/amarelo/vermelho)","sim","350","2806","Identificação: Ginásio Escola Estadual Rocha Vieira ... Endereço: 15 de Novembro s/n ... Capacidade: 200 pessoas ... Identificação: CAP Centro de Apoio Pedagógico ... Endereço: Rua Mauricio Picantet ... Capacidade: 150 pessoas ... MUNICÍPIO Nome: Dilermando de Aguiar População: 2.806","alta",""
"Dois Irmãos","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","30.709","O documento descreve procedimentos de abrigamento e atribui à Secretaria de Desenvolvimento Social a responsabilidade por 'abrigos, cadastro e assistência', além de instruções de 'Procedimento de abrigamento' (preparar recepção, organizar espaços familiares, áreas específicas para idosos, gestantes e PNE, cadastro dos abrigados) — mas não lista nomes ou endereços de abrigos nem indica número de vagas/capacidade; população aprox. 30.709 (IBGE 2022).","alta",""
"Dois Lajeados","verde","semáforo (verde/amarelo/vermelho)","sim","1850","N/A","Lista de Abrigos: Abrigo 01 Identificação: Ginásio Municipal Capacidade: 1500 pessoas Endereço: Rua Dr° Carlos Erani Coelho leal, Centro, Dois Lajeados, N°80; Abrigo 02 Identificação: CTG Potro sem dono Capacidade: 300 pessoas Endereço: Rua Dr° Carlos Erani Coelho leal, Parque de eventos, Dois Lajeados, N°235; Abrigo 03 Identificação: Quadra coberta Capacidade: 50 pessoas Endereço: Rua Dr° Carlos Erani Coelho leal, Parque de eventos, Dois Lajeados, N°239","alta",""
"Dom Feliciano","verde","semáforo (verde/amarelo/vermelho)","sim","2.100","N/A","Lista De Abrigos: Abrigo I (ginásio municipal, Av. Borges de Medeiros) capacidade 1.000; Abrigo II (creche, Rua Coronel ...) capacidade 200; Abrigo III (escola, Av. Borges de Medeiros) capacidade 600; Abrigo IV (CTG, Av. Carlos Barbosa Gonçalves) capacidade 300.","alta",""
"Dona Francisca","verde","semáforo (verde/amarelo/vermelho)","sim","520","N/A","5.1 Abrigo I Identificação: GINÁSIO DA E.M.E.F. ANTÔNIO LUIZ BARCHET Endereço: RUA GUILHERME BARCHET, 151 – BAIRRO COHAB Capacidade: 200 pessoas; 5.2 Abrigo II Identificação: PRÉDIO DO ANTIGO HOSPITAL RAINHA DOS APÓSTOLOS Endereço: RUA DUQUE DE CAXIAS, 08 – BAIRRO CENTRO Capacidade: 20 pessoas; 5.3 Abrigo III Identificação: GINÁSIO MUNICIPAL E.M.E.F. TIRADENTES Endereço: LOCALIDADE DE TROMBUDO Capacidade: 250 pessoas; 5.4 Abrigo III Identificação: CENTRO TURÍSTICO E CULTURAL AFRO-BRASILEIRO Endereço: TRAVESSA ACÁCIO FLORES, 87 – BAIRRO MOSTARDEIRO Capacidade: 50 pessoas","alta",""
