"municipio","valor","unidade","apenas_previsto","evento_real_nao_simulado","evidencia","confianca","erro"
"Arroio do Padre","vermelho","semáforo (verde/vermelho)","sim","N/A","Não há menção a simulado realizado; o plano descreve procedimentos e ativação do Plano (ex.: ""Após a decisão formal de ativar o Plano, as seguintes medidas serão desencadeadas:"") e instruções para uso/atualização (ex.: ""O Plano de Contingência poderá ser ativado pela(o)""), mas não apresenta ata, relatório, data de simulado ou número de participantes nem texto indicando que ""foi realizado o simulado em <data>"" [ref_id:5][ref_id:6][ref_id:3]","alta",""
"Arroio dos Ratos","vermelho","semáforo (verde/vermelho)","sim","nao","Além disso, devem ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Arroio dos Ratos, como prevê a Lei Federal nº 12.608, de 10 de abril de 2012.","alta",""
"Arvorezinha","vermelho","semáforo (verde/vermelho)","nao","nao","Não menciona simulados realizados; contém orientações do plano, lista de abrigos, recursos e declaração ""O município não conta com estoque de emergência para desastres."" e data do plano ""Arvorezinha, 23 de outubro de 2025."" [ref_id:2][ref_id:0]","alta",""
"Barra do Ribeiro","vermelho","semáforo (verde/vermelho)","sim","nao","ATIVIDADES DE RESPOSTA E RESPONSÁVEIS - 1 ... Realizar buscas, resgate e salvamento ... (Documento: 'Nenhum documento foi anexado.')","alta",""
"Barracão","vermelho","semáforo (verde/vermelho)","sim","nao","""O Plano de Contingência ... estabelece os procedimentos a serem adotados... quando houver ocorrência de emergências"" [ref_id:3] ""O Plano de Contingência de Proteção e Defesa Civil do Município de Barracão/RS tem como objetivo principal desenvolver procedimentos que deverão ser adotados pelos órgãos competentes quando houver ocorrência de emergências"" [ref_id:13]","alta",""
"Barros Cassal","vermelho","semáforo (verde/vermelho)","sim","nao","""instruções para manutenção do plano... realizar exercícios simulados em conjunto, uma vez por ano, sob coordenação do COMPDEC e emitir relatórios após cada exercício""","alta",""
"Barão de Cotegipe","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento realizado; documentos listam atividades de resposta e ações a serem desenvolvidas e indicam 'Documentos: nenhum documento foi anexado.' e instruções/planos (ex.: 'Ações a serem desenvolvidas', 'Acionar mecanismos para implantação do Plano de Contingência') sem registro de data, ata, relatório ou número de participantes de um simulado realizado.","alta",""
"Barão do Triunfo","vermelho","semáforo (verde/vermelho)","sim","sim","“Sinalização e treinamento da população em caso de eventos climáticos, após a audiência pública que acontecera em meados de março.” [ref_id:5][ref_id:4] — e — “III. AÇÕES DE RESPOSTA REALIZADAS / Com base no Plano de Contingência para o desastre em tela, as seguintes ações emergenciais foram executadas.” (relato de resposta a evento real, sem indicar que foi um simulado realizado com data/relatório/participantes). [ref_id:2][ref_id:5]","alta",""
"Barão","vermelho","semáforo (verde/vermelho)","sim","nao","“Simulados semestrais com participação de escolas e comunidade.” [ref_id:1] ""Capacitação anual de equipes municipais e voluntários."" [ref_id:1]","alta",""
"Boa Vista do Cadeado","vermelho","semáforo (verde/vermelho)","sim","nao","O documento lista ações e responsabilidades e traz linguagem de obrigação/planejamento, por exemplo: ""Ações a serem desenvolvidas"" e itens como ""Convocar a equipe COMPDEC"" e instruções operacionais; não há menção a simulado já realizado com data/ata/relatório ou número de participantes nos documentos recuperados","alta",""
"Boa Vista do Incra","vermelho","semáforo (verde/vermelho)","sim","nao","“O município deverá realizar exercícios simulados anuais, preferencialmente antes do período de maior risco (...)” [ref_id:0] ""Recomenda-se a realização de exercícios simulados anuais, envolvendo as secretarias municipais, forças de segurança, entidades comunitárias e voluntários"" [ref_id:1]","alta",""
"Bom Princípio","vermelho","semáforo (verde/vermelho)","nao","N/A","Não há menção no documento recuperado de simulado/exercício de evacuação efetivamente realizado com data, ata, relatório ou número de participantes; o arquivo é o ""PLANO DE CONTINGÊNCIA"" da Coordenadoria Municipal de Defesa Civil de Bom Princípio (atualizado em maio de 2025) com listas de estruturas, unidades e profissionais, sem registro de simulado realizado.","alta",""
"Bom Retiro do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","“capacitações, treinamentos e exercícios simulados de campo;” [ref_id:7] — não há no documento indicação de que um simulado/treinamento foi efetivamente realizado (data, ata, relatório ou nº de participantes).","alta",""
"Brochier","vermelho","semáforo (verde/vermelho)","sim","sim","Documento menciona ações de evacuação e treinamentos como medidas/ações (ex.: ""5.3 – Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."") e descreve respostas a eventos reais (ex.: ""Movimentos ocorridos no início de maio/2024, criaram uma situação de fragilidade geotécnica..."") — não há indicação de simulado/treinamento efetivamente realizado com data, ata, relatório ou número de participantes.","alta",""
"Butiá","vermelho","semáforo (verde/vermelho)","sim","nao","""Se recomenda que os exercícios simulados, pelo seu caráter educativo (ou seja, o de validar as ações previstas) ocorram pelo menos uma vez ao ano.""[ref_id:3] ""Os simulados devem ser um dos principais critérios para a revisão e atualização do plano de contingências.""[ref_id:2] ""10.4.2. EXECUÇÃO DO SIMULADO: No dia da realização do simulado toda a área deve estar bem sinalizada e o treinamento amplamente divulgado ...""[ref_id:0]","alta",""
"Cacequi","vermelho","semáforo (verde/vermelho)","sim","nao","“INSTALAR SISTEMA DE COMANDO SAMA” / “IDENTIFICAR OS RISCOS AINDA EXISTENTES” / “DIMENSIONAR O EVENTO E A NECESSIDADE DE RECURSOS” — trechos que listam ações a serem desenvolvidas e procedimentos, e ""Evacuação: states evacuation will be organized according to event magnitude so rescue teams have access; evacuation triggered by COMPDEC coordinator, mayor or plan members."" (não há frase que afirme que um simulado/exercício de evacuação foi efetivamente realizado com data, ata, relatório ou número de participantes). [ref_id:5][ref_id:6][ref_id:3]","alta",""
"Cachoeira do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","“A elaboração e revisão de Plano de Contingência é uma ação que integra o Programa Cachoeira do Sul Resiliente: 5. AÇÕES DE PREPARAÇÃO PARA ENFRENTAMENTO DE DESASTRES: Preparação das equipes... O Plano de Contingência deverá ser revisado anualmente.” [ref_id:10] — não há menção a simulado/treinamento efetivamente realizado com data, ata, relatório ou nº de participantes.","alta",""
"Cachoeirinha","vermelho","semáforo (verde/vermelho)","sim","nao","“Se recomenda, ainda, que todos os simulados que vierem ocorrer na cidade de Cachoeirinha, tenham a participação direta e a cooperação da COPAE.” [ref_id:0] ""O Plano de Contingências ... será revisado, atualizado e validado, anualmente, através de exercícios simulados."" [ref_id:2]","alta",""
"Cacique Doble","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulados realizados; o texto prevê ativação do plano e medidas a serem desencadeadas (ex.: ""Após a decisao formal de ativar o Plano, as seguintes medidas serao desencadeadas:"") e indica obrigações/ativação (ex.: ""COMPDEC ativara o plano de chamada, o posto de comando e a compilacao das informacoes""). [ref_id:2][ref_id:8]","alta",""
"Camaquã","vermelho","semáforo (verde/vermelho)","sim","N/A","O plano descreve procedimentos e ações a serem adotadas e quando será acionado, mas não traz registro de simulado realizado: ""O plano de contingência tem por objetivo estabelecer os procedimentos a serem adotados...""[ref_id:0] e ""Quando o plano será acionado?"" (descrição de gatilhos) sem indicar realização passada de simulados ou atas/relatórios com data ou nº de participantes.[ref_id:2]","alta",""
"Camargo","vermelho","semáforo (verde/vermelho)","sim","N/A","Documento indica ações e organização (""AÇÕES POR EVENTO""; ""monitoramento e evacuação""), planejamento e infraestrutura disponível, mas não contém referência a simulado/exercício já realizado com data, ata, relatório ou número de participantes nos trechos recuperados","alta",""
"Campo Bom","vermelho","semáforo (verde/vermelho)","sim","nao","""O Plano Municipal de Contingência ... estabelece os procedimentos a serem adotados ... incluindo as ações de socorro, ajuda humanitária e reabilitação..."" e trechos que indicam previsões/obrigações como ""O plano poderá ser ativado..."", ""o coordenador da Comdec ativará o plano de chamada"" e menções a periodicidade/obrigações implícitas; não há frase afirmando que ""foi realizado o simulado em <data>"", ata, relatório ou número de participantes no documento recuperado."" [ref_id:0][ref_id:10][ref_id:9]","alta",""
"Campos Borges","vermelho","semáforo (verde/vermelho)","sim","N/A","Não há menção de simulados realizados; o documento descreve ações a serem desenvolvidas e abrigos, e usa linguagem de previsão/ação (ex.: ""Este plano tem por objetivo definir ações emergenciais..."", ""Esse plano deve ser desencadeado em situação critica e emergencial."") [ref_id:0][ref_id:1]","alta",""
"Candelária","vermelho","semáforo (verde/vermelho)","sim","nao","“os órgãos envolvidos ... poderão realizar exercícios simulados conjuntos, sob a coordenação da Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC), mediante autorização do Prefeito Municipal, emitindo relatório final...” [ref_id:0] — não há no documento citação de simulado efetivamente realizado com data, ata, relatório ou número de participantes; menções encontradas são sobre realização futura/possibilidade e procedimentos em caso de evento real (ex.: registros de chuvas e inundações em 2024) [ref_id:12][ref_id:6]","alta",""
"Canguçu","vermelho","semáforo (verde/vermelho)","sim","nao","“Realizar programas de educação ambiental... Elaborar plano de contingência... ” e trechos que usam linguagem de dever/planejamento (ex.: “o plano deve ser acionado...”), sem indicação de simulado realizado, ata, relatório ou número de participantes no documento recuperado [ref_id:2][ref_id:5]","alta",""
"Canoas","vermelho","semáforo (verde/vermelho)","sim","sim","texto do plano cita a enchente de maio de 2024 como evento real (ex.: ""foi hit by the May 2024 flood with water reaching about 1.5 meters"") e no documento não há afirmação literal de que ""foi realizado o simulado em <data>"" nem ata/relatório de treinamento; há previsões de treinamentos e preparação (ex.: ""Preparação: Organizar ... treinamento (including volunteers)"")","alta",""
"Canudos do Vale","vermelho","semáforo (verde/vermelho)","sim","nao","Simulado: Exercício de desastre que implica a simulação, a mais realista possível, de um desastre provável, durante o qual são testadas as normas, os procedimentos, o grau de adestramento das equipes, planejamento e outros dados que permitam o aperfeiçoamento do processo.[ref_id:1]","alta",""
"Capela de Santana","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento efetivamente realizado; o documento lista procedimentos, responsabilidades, contatos, abrigo e recursos e traz data de assinatura do plano (""Capela de Santana, RS, 28 de maio de 2024"") mas não indica ""foi realizado o simulado"" nem ata/relatório/número de participantes nos trechos disponíveis [ref_id:1][ref_id:5][ref_id:6]","alta",""
"Capitão","vermelho","semáforo (verde/vermelho)","sim","nao","“Simulação prática realizada no ano” (checklist/Anexo VI) e “podem ser planejados e executados simulados, conforme necessidade e evolução do plano.” (seção 9.1.5) — não há indicação de data, ata, relatório ou número de participantes de simulados efetivamente realizados no passado","alta",""
"Capão Bonito do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","5.1 Reunir as pessoas atingidas pelo evento climático em abrigo. 5.2 Fornecer alimentos, água potável, roupas e atendimento médico aos feridos. 5.3 Iniciar a distribuição de lonas aos desabrigados e realizar levantamento de danos à população.","alta",""
"Capão do Cipó","vermelho","semáforo (verde/vermelho)","sim","nao","É o planejamento tático elaborado com antecipação, a partir de uma determinada hipótese de desastre, visando facilitar respostas ás situações de socorro, minimizando seus efeitos.[ref_id:3] O Plano ... será ativado sempre que forem constatadas as condições e pressupostos que caracterizam um dos cenários de risco previstos... Após a decisão formal de ativar o Plano de Contingência ... as seguintes medidas serão desencadeadas...[ref_id:0] (não há menção a simulado/treinamento realizado com data, ata, relatório ou número de participantes no documento recuperado).","alta",""
"Capão do Leão","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção no documento a simulado/treinamento efetivamente realizado com data, ata, relatório ou número de participantes; o texto apenas descreve objetivos, procedimentos, recursos e abrigos do Plano de Contingência do município de Capão do Leão (ex.: ""Sensibilizar e capacitar a população para a adoção de medidas de prevenção e redução de riscos"") [ref_id:1][ref_id:0]","alta",""
"Carazinho","vermelho","semáforo (verde/vermelho)","sim","nao","""Serão realizados anualmente simulados de evacuação, oficinas de capacitação para servidores e ações educativas com a comunidade, com foco nos riscos identificados no município.""","alta",""
"Carlos Gomes","vermelho","semáforo (verde/vermelho)","nao","sim","Histórico de Recorrência: Eventuais na sede e em pontos específicos do município. Evento ocorrido em 2023 em grande proporção.","alta",""
"Casca","vermelho","semáforo (verde/vermelho)","sim","nao","“deve ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Casca como prevê a Lei 12.608, de 10 de abril de 2012.” [ref_id:0]","alta",""
"Caseiros","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento efetivamente realizado; o documento lista ações, responsabilidades, históricos de eventos e recursos, mas não descreve ""foi realizado o simulado"" nem apresenta ata/relatório/nº de participantes.","alta",""
"Centenário","vermelho","semáforo (verde/vermelho)","nao","nao","""5.3 Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" [ref_id:3]","alta",""
"Cerrito","vermelho","semáforo (verde/vermelho)","sim","nao","Não menciona simulado realizado; contém apenas disposições/objetivos do plano e acionamento quando ocorrer evento adverso (""O plano será acionado quando ocorrer algum evento adverso no Município"") e não há ata, data de simulado, relatório ou número de participantes no documento recuperado","alta",""
"Cerro Branco","vermelho","semáforo (verde/vermelho)","nao","nao","O documento menciona ações de ""Formação e capacitação de recursos humanos"" e ""educação e treinamento"" e prevê monitoramento e acionamento do plano, mas não apresenta data, ata, relatório ou número de participantes de um simulado já realizado; ex.: ""5.1: Formação e capacitação de recursos humanos..."" [ref_id:1][ref_id:0]","alta",""
"Cerro Grande do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","""deverão realizar exercícios simulados conjuntos, sob a coordenação da Diretoria de Defesa Civil da Secretaria e mediante autorização do Prefeito Municipal, emitindo relatório ao final"" [ref_id:0] e ""Participar das reuniões e simulados realizados pela Diretoria Municipal da Defesa Civil."" [ref_id:1]","alta",""
"Charqueadas","vermelho","semáforo (verde/vermelho)","sim","nao","“Os exercícios simulados são instrumentos de preparação para resposta. Funcionam como treinamento para a execução do Plano de Contingência, e por isso devem ocorrer após a sua elaboração ou atualização.” [ref_id:0] ""Se recomenda que os exercícios simulados, pelo seu caráter educativo (...) ocorram pelo menos uma vez ao ano."" [ref_id:10]","alta",""
"Charrua","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO menciona simulados realizados; texto do plano descreve objetivos, riscos, dados do município e recursos, sem declaração de ""foi realizado o simulado"", ata, relatório ou nº de participantes encontrada no documento recuperado [ref_id:1][ref_id:3]","alta",""
"Chuvisca","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO menciona simulados realizados; contém objetivos do plano e ativação em casos de ocorrência: ""O Plano de Contingência tem por objetivo, estabelecer os procedimentos a serem adotados pelos órgãos envolvidos na resposta as emergências..."" [ref_id:1] e lista recursos/recenseamento sem ata/relatório ou menção a simulado/treinamento realizado no passado. [ref_id:0]","alta",""
"Chuí","vermelho","semáforo (verde/vermelho)","sim","nao","“Compreende preparação de recursos humanos e interação com a comunidade; educação e treinamento das populações vulneráveis; e organização da cadeia de comando...”; “- Fazer levantamento do abrigo, no final de cada jornada, com número de desabrigados...”; não há menção de simulado realizado com data, ata, relatório ou nº de participantes.","alta",""
"Ciríaco","vermelho","semáforo (verde/vermelho)","nao","nao","Não menciona simulado realizado; conteúdo apresenta histórico de epidemia (COVID-19) e seções operacionais, sem ata/relatório ou afirmação de que ""foi realizado o simulado"" nem número de participantes. [ref_id:1][ref_id:3][ref_id:0]","alta",""
"Colinas","vermelho","semáforo (verde/vermelho)","sim","sim","""Deverão ser acionadas as equipes e instituições, conforme a necessidade relacionada pela COMDEC no momento da realização da cinemática local"" [ref_id:1] ; ""A todo o momento agentes da COMDEC colherão informações... Cada Relatório deverá conter no mínimo 2 fotos"" [ref_id:2] ; histórico de cheias e relatos de eventos reais (ex.: ""No evento de 04 de setembro de 2023 ... 180 famílias foram diretamente atingidas"" ) indicando resposta a eventos reais e não treinamento [ref_id:8]","alta",""
"Colorado","vermelho","semáforo (verde/vermelho)","nao","nao","Não há no documento nenhuma menção de simulado/exercício de evacuação efetivamente realizado com data, ata, relatório ou número de participantes; o texto descreve procedimentos, responsabilidades e que ""Acionamento da equipe responsável por guiar a população para o ponto de encontro"" e que o plano foi elaborado em ""MARÇO, 2025"" [ref_id:0][ref_id:1][ref_id:2]","alta",""
"Coqueiro Baixo","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção de simulado/treinamento realizado com data, ata, relatório ou número de participantes; o texto traz instruções de ativação do plano e que ""deverão"" ser desencadeadas medidas, além de listar ações (ex.: ""Após a decisão formal de ativar o Plano, as seguintes medidas serão desencadeadas:"") e recursos/abrigos, sem registrar simulado já realizado","alta",""
"Coxilha","vermelho","semáforo (verde/vermelho)","sim","nao","“5.4 Atuar na busca, salvamento e evacuação das pessoas atingidas pelo desastre;” — texto descreve atuação em resposta a desastres; e não há no documento nenhuma frase do tipo “foi realizado o simulado em <data>”, ata, relatório ou número de participantes nos trechos recuperados (N/A)","alta",""
"Cristal","vermelho","semáforo (verde/vermelho)","sim","nao","“Também deverá ser feita a remoção destas famílias expostas ao risco e realocadas nos abrigos cadastrados neste Plano” [ref_id:4] — texto indica ação prevista/obrigatória; não há citação de simulado já realizado com data, ata, relatório ou nº de participantes no documento recuperado [ref_id:7][ref_id:0]","alta",""
"Cruz Alta","vermelho","semáforo (verde/vermelho)","sim","nao","“Compreende preparação de recursos humanos e interação com a comunidade; educação e treinamento das populações vulneráveis;” [ref_id:4] — texto indica preparação/treinamento previsto; não há no documento citação de simulado efetivamente realizado com data, ata, relatório ou número de participantes (não encontrado). [ref_id:0][ref_id:13]","alta",""
"Cruzeiro do Sul","vermelho","semáforo (verde/vermelho)","sim","sim","“recomenda-se ... realizar simulações, capacitações e ações educativas periódicas.” [ref_id:5] “As maiores cheias da história ocorreram em (1) setembro de 2023: 29,5 m ... (3) maio de 2024: 34,00 m.” (histórico de cheias) [ref_id:7]","alta",""
"David Canabarro","vermelho","semáforo (verde/vermelho)","sim","nao","""Ações a serem desenvolvidas"" listam: ""acionar o Plano de Contingência"", ""remover pessoas de áreas de risco"" e similares — texto de procedimentos/ações; não há indicação de ata, relatório ou frase como ""foi realizado o simulado em <data>"" nos documentos recuperados; PLANCON versão indica ""ÚLTIMA ATUALIZAÇÃO: 26/05/2025"" (metadado do plano) [mas não é registro de simulado].","alta",""
"Dilermando de Aguiar","vermelho","semáforo (verde/vermelho)","sim","nao","""O Plano de Contingência de Proteção e Defesa Civil será ativado sempre que forem constatadas as condições e pressupostos que caracterizam um dos cenários de risco previstos."" [ref_id:3]","alta",""
"Dois Irmãos","vermelho","semáforo (verde/vermelho)","sim","nao","trechos do plano descrevem procedimentos e que ""organizar evacuação da população"" e que ""Rotas de Fuga"" não são pré-definidas; não há menção a simulado efetivamente realizado, ata, relatório ou número de participantes nos documentos recuperados. Ex.: ""organizar evacuação da população""[ref_id:0] ""ROTAS DE FUGA: ... não há necessidade de predefinir rotas oficiais""[ref_id:3] ""Evacuação de áreas de risco: equipes devem ...""[ref_id:7]","alta",""
"Dois Lajeados","vermelho","semáforo (verde/vermelho)","sim","N/A","""Findo o período de emergência, será realizada reunião de encerramento para apreciação dos resultados das ações executadas, identificação de eventuais fragilidades e elaboração do Relatório Pós-Evento""","alta",""
"Dom Feliciano","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento realizado; o documento traz objetivos, acionadores e áreas de risco, mas não descreve ""foi realizado o simulado"" nem ata/relatório/nº de participantes [ref_id:0][ref_id:1][ref_id:2]","alta",""
"Dona Francisca","vermelho","semáforo (verde/vermelho)","sim","nao","""Serão deflagradas as atividades de acordo com o planejamento estabelecido para cada Cenário.""","alta",""
"Doutor Ricardo","vermelho","semáforo (verde/vermelho)","nao","N/A","O documento lista ações, áreas de risco, abrigos, recursos e assinaturas do plano, mas não informa que ""foi realizado"" qualquer simulado; não há ata, relatório, data de realização de exercício ou número de participantes mencionados no conteúdo recuperado. [ref_id:0][ref_id:1][ref_id:3]","alta",""
"Eldorado do Sul","vermelho","semáforo (verde/vermelho)","sim","sim","Material complementar ao presente Plancon... tem como base e foco a enchente ocorrida em maio de 2024.","alta",""
"Encantado","vermelho","semáforo (verde/vermelho)","sim","nao","""testadas por meio de simulados comunitários, com acompanhamento da Defesa Civil e participação das equipes locais."" [ref_id:0] ""Utilizados em ações de educação e simulação comunitária com o apoio dos NUPDECs;"" [ref_id:2] ""Incorporar lições aprendidas em emergências reais e simulados."" [ref_id:2]","alta",""
"Encruzilhada do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","O PLANO DE CONTINGENCIA DEVE SER ACIONADO... (descrição de quando acionar) e não há menção a simulado já realizado; termos indicativos de previsão/obrigatoriedade como 'DEVE SER ACIONADO' aparecem no documento","alta",""
"Erebango","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção de simulado/treinamento efetivamente realizado; o documento descreve procedimentos a adotar, ativação do plano e responsabilidades (ex.: ""O Plano de Contingência... será ativado...""), e ações a serem desenvolvidas (ex.: ""Realizar... busca, resgate, salvamento e socorro às vítimas""), mas não registra ata, data de realização, relatório ou número de participantes de um simulacro realizado.","alta",""
"Erechim","vermelho","semáforo (verde/vermelho)","sim","nao","o Plano descreve ações e que ""deverá ser ativado"" e procedimentos a adotar e indica periodicidade/obrigações, mas não apresenta declaração de que ""foi realizado o simulado"" nem ata/relatório/nº de participantes no documento recuperado (ex.: ""O Plano de Contingência ... será ativado sempre que forem constatadas as condições"" ) [ref_id:2][ref_id:0]","alta",""
"Ernestina","vermelho","semáforo (verde/vermelho)","sim","nao","“Após a decisão formal de ativar o Plano, as seguintes medidas serão desencadeadas:” [ref_id:1] — texto descreve acionamento/ações a serem feitas; não há menção a simulado realizado com data, ata, relatório ou nº de participantes nos documentos recuperados [ref_id:0][ref_id:2][ref_id:3].","alta",""
"Espumoso","vermelho","semáforo (verde/vermelho)","sim","nao","Section 3 (Quando deve ser desencadeado?): brief text explaining when the plan is activated (on detection of risk conditions or evolution/monitoring of an event).","alta",""
"Estação","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano descreve procedimentos e fases (monitoramento, alerta, alarme, evacuação) e indica responsabilidades e recursos, mas não relata realização de simulados: ""O Plano de Contingencia estabelece os procedimentos a serem adorados..."" e não há menção a simulado realizado com data, ata ou número de participantes.","alta",""
"Esteio","vermelho","semáforo (verde/vermelho)","sim","nao","“deverão realizar exercícios simulados conjuntos, sob a coordenação da Diretoria de Defesa Civil ... emitindo relatório ao final”[ref_id:0][ref_id:0]","alta",""
"Estrela Velha","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento inclui instruções e ações a serem desenvolvidas (ex.: ""Que ações devem ser desenvolvidas""; ações 5.1–5.5) e declara periodicidade/obrigações implícitas, mas não apresenta registro de realização de simulado, ata, relatório ou número de participantes — não há frase como ""foi realizado o simulado em <data>"" nem ata/relatório anexado nos trechos recuperados","alta",""
"Estrela","vermelho","semáforo (verde/vermelho)","sim","nao","“Para melhoria do seguinte Plano, os órgãos envolvidos na sua elaboração e aplicação deverão realizar exercícios simulados conjuntos 01 vez ao ano, sob a coordenação do COMPDEC, emitindo relatório ao final de cada exercício…”","alta",""
"Estância Velha","vermelho","semáforo (verde/vermelho)","sim","nao","Para melhorias e concretização do Plano de Contingência, os órgãos envolvidos na sua elaboração e aplicação deverão realizar exercícios simulados em conjunto, duas vezes ao ano, sendo um exercício parcial (mesa) e um exercício geral, sob a coordenação da Coordenadoria Municipal de Proteção e Defesa Civil. Será emitido um relatório ao final de cada exercício, destacando os pontos do Plano que merecerão alteração ou reformulação, bem como as dificuldades encontradas na sua execução. (trechos do plano que preveem realização de exercícios simulados)","alta",""
"Faxinal do Soturno","vermelho","semáforo (verde/vermelho)","sim","nao","""Treinamento e simulações de evacuação."" [ref_id:0]","alta",""
"Fazenda Vilanova","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção de simulado realizado; o documento descreve ações, recursos, lista de abrigos e data do plano: ""Fazenda Vilanova, 24 de outubro de 2025.""","alta",""
"Feliz","vermelho","semáforo (verde/vermelho)","sim","nao","Nenhuma página do plano descreve um simulado/treinamento de evacuação efetivamente realizado; o documento traz redações sobre quando o plano é acionado e recursos/estoque, e indica que devem ser acionados em eventos (ex.: ""Quando deve ser desencadeado (Quando?)"" / critérios de enchente e deslizamento) e lista recursos e inventário, sem ata, relatório, data de simulado ou número de participantes.","alta",""
"Floriano Peixoto","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano descreve ações como ""Realizar a remoção de pessoas das áreas de risco"", ""Realizar atividades de busca, resgate e salvamento"" e contém histórico de ocorrências (ex.: ""Ocorreu nos anos 2014, 2016, 2017,2018 e 2023""), mas não há indicação literal de simulado/treinamento realizado com data, ata ou relatório. [ref_id:0][ref_id:1][ref_id:3]","alta",""
